Restaurant,Latitude,Longitude,Address,PlaceID,URL,AverageExposure,Stars,ZIP,Count,White,ofWhite,WN,Black,ofBlack,BN,AmericanIndaian,ofAI,AIN,Asian,ofAisan,AN,NativeHawiian,ofNativeHawiian,NHN,Edu,ofEDU,HED,Unemployment,HUne,Wealth,HWe,Attraction,Hotspot
Korean Garden,61.1441461,-149.8767621,"300 E Dimond Blvd, Anchorage, AK 99515, United States",ChIJM77XNtKZyFYRLEv0OzfhCgQ,/biz/korean-garden-anchorage?osq=Restaurants,0.131698302848592,3.8,99503,121,6167,47.4,0,1429,11,1,1206,9.3,1,1859,14.3,1,155,1.2,0,990,36.1,0,7.9,1,63338,0,0,0
Ollin Tea & Cafe,61.1438325,-149.87608,"300 E Dimond Blvd #15, Anchorage, AK 99515, United States",ChIJQ3-XMQiXyFYRGgKdXxQK4sc,/biz/ollin-tea-and-cafe-anchorage?osq=Restaurants,0.0253600453902524,4,99508,30,15722,41.3,0,3106,8.2,1,5326,14,1,5151,13.5,1,2930,7.7,1,1605,25.3,0,6.5,1,65430,0,1,0
IHOP,61.1815746,-149.8750737,"501 E Tudor Rd, Anchorage, AK 99503, United States",ChIJK-LO372XyFYRPOmgJSu-1MA,/biz/ihop-anchorage-4?osq=Restaurants,0.0381285370960283,2.4,99515,80,15252,68.6,1,471,2.1,0,1002,4.5,0,1635,7.4,0,711,3.2,1,1098,39,1,4,1,106755,1,0,0
Silk,61.1930586,-149.8749186,"500 E Benson Blvd Suite 114, Anchorage, AK 99503, United States",ChIJXdmxDsiXyFYRlm04VUjC4KA,/biz/silk-anchorage-3?osq=Restaurants,0.109700941580807,3.7,99515,80,15252,68.6,1,471,2.1,0,1002,4.5,0,1635,7.4,0,711,3.2,1,1098,39,1,4,1,106755,1,0,1
Indigo Tea Lounge,61.192596,-149.8743823,"530 E Benson Blvd #8, Anchorage, AK 99503, United States",ChIJ4cKHzyiWyFYRFknrT2Yllfs,/biz/indigo-tea-lounge-anchorage?osq=Restaurants,0.0466700987738977,4.3,99502,17,15845,62.8,1,588,2.3,0,2954,11.7,1,2149,8.5,0,516,2,0,1161,25.2,0,5.4,1,94355,1,1,1
Cafe Amsterdam,61.1930568,-149.8743743,"530 E Benson Blvd #3, Anchorage, AK 99503, United States",ChIJY6AnHMiXyFYRbOnE83yqXDQ,/biz/cafe-amsterdam-anchorage?osq=Restaurants,0.0492635257610953,3.1,99518,22,6234,58.1,0,259,2.4,0,553,5.2,0,1298,12.1,1,192,1.8,0,587,21.2,0,3,0,84045,0,1,1
China Town Restaurant,61.2310128,-149.8739376,"836 E Loop Rd, Anchorage, AK 99501, United States",ChIJycJpq4q9yFYR-t1ozZupnR4,/biz/china-town-restaurant-anchorage?osq=Restaurants,0.0127277268611088,4,99503,121,6167,47.4,0,1429,11,1,1206,9.3,1,1859,14.3,1,155,1.2,0,990,36.1,0,7.9,1,63338,0,0,0
Saverio's Pizzeria,61.192562,-149.873873,"530 E Benson Blvd, Anchorage, AK 99503, United States",ChIJjXvzAMiXyFYR3o6gJkT3ORE,/biz/saverios-pizzeria-anchorage-2?osq=Restaurants,0.139487411891088,4.6,99501,77,9223,57.8,0,1150,7.2,1,2000,12.5,1,1059,6.6,0,520,3.3,1,1160,34.8,0,7.2,1,61509,0,1,1
Taco King,61.2310983,-149.8736453,"848 E Loop Rd, Anchorage, AK 99501, United States",ChIJqa3BVPW9yFYRU0lpLOAULeI,/biz/taco-king-anchorage-2?osq=Restaurants,0.114544428393994,3.9,99501,77,9223,57.8,0,1150,7.2,1,2000,12.5,1,1059,6.6,0,520,3.3,1,1160,34.8,0,7.2,1,61509,0,1,0
Taco King,61.2310983,-149.8736453,"848 E Loop Rd, Anchorage, AK 99501, United States",ChIJqa3BVPW9yFYRU0lpLOAULeI,/biz/taco-king-anchorage?osq=Restaurants,0.108117504290047,3.5,99503,121,6167,47.4,0,1429,11,1,1206,9.3,1,1859,14.3,1,155,1.2,0,990,36.1,0,7.9,1,63338,0,0,0
Pho' Vietnam,61.2306862,-149.8736317,"809 E Loop Rd, Anchorage, AK 99501, United States",ChIJFSr2ByCWyFYRBOBfFpd00KM,/biz/pho-vietnam-anchorage?osq=Restaurants,0.081857169127342,3.7,99503,121,6167,47.4,0,1429,11,1,1206,9.3,1,1859,14.3,1,155,1.2,0,990,36.1,0,7.9,1,63338,0,0,0
Great Harvest Bread - Anchorage,61.1928367,-149.8729194,"570 E Benson Blvd, Anchorage, AK 99503, United States",ChIJ1zH0_beXyFYRJFYa8Do62f8,/biz/great-harvest-bread-anchorage-anchorage?osq=Restaurants,0.149712149035237,4.5,99501,77,9223,57.8,0,1150,7.2,1,2000,12.5,1,1059,6.6,0,520,3.3,1,1160,34.8,0,7.2,1,61509,0,1,1
Fresh Bowl Kitchen,61.1954967,-149.8728649,"545 E Northern Lights Blvd # A, Anchorage, AK 99503, United States",ChIJ11eEZHmXyFYRBIjLIs85uy4,/biz/fresh-bowl-kitchen-anchorage?osq=Restaurants,0.139985062339731,4.4,99501,77,9223,57.8,0,1150,7.2,1,2000,12.5,1,1059,6.6,0,520,3.3,1,1160,34.8,0,7.2,1,61509,0,1,1
Twin Dragon Mongolian Bar-B-Q,61.2076063,-149.8725226,"612 E 15th Ave, Anchorage, AK 99501, United States",ChIJEbTw_TKWyFYRgI6sLRzQS_M,/biz/twin-dragon-mongolian-bar-b-q-anchorage?osq=Restaurants,0.0690041476813517,3.7,99503,121,6167,47.4,0,1429,11,1,1206,9.3,1,1859,14.3,1,155,1.2,0,990,36.1,0,7.9,1,63338,0,0,0
BurgerFi,61.1942601,-149.8722758,"600 E Northern Lights Blvd, Anchorage, AK 99503, United States",ChIJzQcOFsiXyFYRaUpvMcE3H90,/biz/burgerfi-anchorage-2?osq=Restaurants,0.021209786257921,3.2,99503,121,6167,47.4,0,1429,11,1,1206,9.3,1,1859,14.3,1,155,1.2,0,990,36.1,0,7.9,1,63338,0,0,1
Pho' Vietnam #8,61.1976545,-149.8720515,"602 E Fireweed Ln, Anchorage, AK 99503, United States",ChIJU6xLm8mXyFYRl1Tdgl1IjBw,/biz/pho-vietnam-8-anchorage?osq=Restaurants,0.122270160512238,4.2,99515,80,15252,68.6,1,471,2.1,0,1002,4.5,0,1635,7.4,0,711,3.2,1,1098,39,1,4,1,106755,1,0,0
Pita Pit,61.1878299,-149.8717295,"600 E 36th Ave Unit 200, Anchorage, AK 99503, United States",ChIJfZCnGrmXyFYRD1fylTF8TvU,/biz/pita-pit-anchorage?osq=Restaurants,0.1137691077343,4.3,99503,121,6167,47.4,0,1429,11,1,1206,9.3,1,1859,14.3,1,155,1.2,0,990,36.1,0,7.9,1,63338,0,0,1
Cecy's Pizza,61.210939,-149.871535,"1172 Gambell St, Anchorage, AK 99501, United States",ChIJrbGt1tmXyFYRKGH3ldybKV0,/biz/cecys-pizza-anchorage?osq=Restaurants,0.0042125362705015,2.9,99503,121,6167,47.4,0,1429,11,1,1206,9.3,1,1859,14.3,1,155,1.2,0,990,36.1,0,7.9,1,63338,0,0,0
Dami,61.2170999,-149.8715223,"642 E 5th Ave, Anchorage, AK 99501, United States",ChIJQf0lhy-WyFYRyA88wsFFV9w,/biz/dami-anchorage?osq=Restaurants,0.13374935669088,3.7,99501,77,9223,57.8,0,1150,7.2,1,2000,12.5,1,1059,6.6,0,520,3.3,1,1160,34.8,0,7.2,1,61509,0,1,0
Territory,61.1925811,-149.8712487,"600 E Benson Blvd, Anchorage, AK 99503, United States",ChIJWYma6LeXyFYRCaj0xpBqfrU,/biz/territory-anchorage?osq=Restaurants,0.155985237432331,3.8,99501,77,9223,57.8,0,1150,7.2,1,2000,12.5,1,1059,6.6,0,520,3.3,1,1160,34.8,0,7.2,1,61509,0,1,1
Sorrento's Restaurant,61.1975987,-149.8705824,"610 E Fireweed Ln, Anchorage, AK 99503, United States",ChIJeQn9hcmXyFYRaiu1ZpMm4nI,/biz/sorrentos-restaurant-anchorage?osq=Restaurants,0.144102204708238,4.2,99517,17,10461,66.2,1,581,3.7,0,1160,7.3,1,1605,10.2,1,259,1.6,0,1255,47.1,1,6.4,1,82619,0,1,0
Altura Bistro,61.1818543,-149.8695497,"4240 Old Seward Hwy, Anchorage, AK 99503, United States",ChIJHW9a_7yXyFYR_QfYVj_6qhQ,/biz/altura-bistro-anchorage-2?osq=Restaurants,0.253264948511401,4.6,99503,121,6167,47.4,0,1429,11,1,1206,9.3,1,1859,14.3,1,155,1.2,0,990,36.1,0,7.9,1,63338,0,0,0
Nilda's Party Creations,61.1813822,-149.8694207,"4240 Old Seward Hwy #21, Anchorage, AK 99503, United States",ChIJt7TnWbyXyFYRf6B4_k402QQ,/biz/nildas-party-creations-midtown?osq=Restaurants,0.080499630053314,4.5,99504,62,21807,52.2,0,4213,10.1,1,2973,7.1,0,4912,11.8,1,1703,4.1,1,1965,27.5,0,5.4,1,75956,0,0,0
Seoul Casa,61.14568,-149.8692499,"601 E Dimond Blvd #6th, Anchorage, AK 99515, United States",ChIJJcOb6X6ZyFYRwx07-x1oDas,/biz/seoul-casa-anchorage?osq=Restaurants,0.188405725745764,4.5,99515,80,15252,68.6,1,471,2.1,0,1002,4.5,0,1635,7.4,0,711,3.2,1,1098,39,1,4,1,106755,1,0,1
Kinley's Restaurant & Bar,61.1910245,-149.8691368,"3230 Seward Hwy, Anchorage, AK 99503, United States",ChIJwVq21LmXyFYRWzn7MbUtDhY,/biz/kinleys-restaurant-and-bar-anchorage?osq=Restaurants,0.180616735566914,4.1,99503,121,6167,47.4,0,1429,11,1,1206,9.3,1,1859,14.3,1,155,1.2,0,990,36.1,0,7.9,1,63338,0,0,1
Dave & Buster's,61.1432124,-149.8691315,"800 E Dimond Blvd #240, Anchorage, AK 99515, United States",ChIJh_2MCNGZyFYRjpAlb_YhnGw,/biz/dave-and-busters-anchorage-3?osq=Restaurants,0.0382945183702817,2.4,99503,121,6167,47.4,0,1429,11,1,1206,9.3,1,1859,14.3,1,155,1.2,0,990,36.1,0,7.9,1,63338,0,0,0
Xalos Burrito Express,61.1883177,-149.8688793,"751 E 36th Ave, Anchorage, AK 99503, United States",ChIJ-6WIxrOXyFYRcl2VR9D8nmc,/biz/xalos-burrito-express-anchorage-2?osq=Restaurants,0.142736173616849,4.4,99503,121,6167,47.4,0,1429,11,1,1206,9.3,1,1859,14.3,1,155,1.2,0,990,36.1,0,7.9,1,63338,0,0,1
Arctic Roadrunner,61.1727338,-149.8688704,"5300 Old Seward Hwy, Anchorage, AK 99518, United States",ChIJBS8xhZmXyFYRmps_Xw7yx8Q,/biz/arctic-roadrunner-anchorage-2?osq=Restaurants,0.14983521792096,3.9,99503,121,6167,47.4,0,1429,11,1,1206,9.3,1,1859,14.3,1,155,1.2,0,990,36.1,0,7.9,1,63338,0,0,0
El Dorado,61.1812022,-149.8688415,"4300 Old Seward Hwy Suite GD 01, Anchorage, AK 99503, United States",ChIJvcHo_oeWyFYRn1-E0yr3MeI,/biz/el-dorado-anchorage?osq=Restaurants,0.198085722535992,4.3,99503,121,6167,47.4,0,1429,11,1,1206,9.3,1,1859,14.3,1,155,1.2,0,990,36.1,0,7.9,1,63338,0,0,0
Moose's Tooth,61.1904987,-149.8687435,"3300 Old Seward Hwy, Anchorage, AK 99503, United States",ChIJ3wBgzrmXyFYRbIyKWCfhB9c,/biz/mooses-tooth-anchorage?osq=Restaurants,0.487931617660117,4.4,99503,121,6167,47.4,0,1429,11,1,1206,9.3,1,1859,14.3,1,155,1.2,0,990,36.1,0,7.9,1,63338,0,0,1
South Restaurant + Coffeehouse,61.1199527,-149.8678209,"11124 Old Seward Hwy, Anchorage, AK 99515, United States",ChIJQ9HO7JWZyFYRgaZzV-u0ARM,/biz/south-restaurant-coffeehouse-anchorage?osq=Restaurants,0.174191378311839,3.9,99515,80,15252,68.6,1,471,2.1,0,1002,4.5,0,1635,7.4,0,711,3.2,1,1098,39,1,4,1,106755,1,0,0
Everest Restaurant,61.1872406,-149.8678061,"3637 Old Seward Hwy, Anchorage, AK 99503, United States",ChIJb_CoT4uXyFYRo_sQIvnB2yk,/biz/everest-restaurant-anchorage?osq=Restaurants,1,4.8,99503,121,6167,47.4,0,1429,11,1,1206,9.3,1,1859,14.3,1,155,1.2,0,990,36.1,0,7.9,1,63338,0,0,1
Turnagain Arm Pit BBQ - Temp. CLOSED,61.1872326,-149.8678058,"3637 Old Seward Hwy, Anchorage, AK 99503, United States",ChIJqRbBfbmXyFYReb0JVQN8ao4,/biz/turnagain-arm-pit-bbq-indian?osq=Restaurants,0.201415995663951,4,99540,4,282,93.7,1,10,3.3,0,9,3,0,0,0,0,0,0,0,0,0,0,0,0,80938,0,1,1
L & L Hawaiian Barbecue,61.142683,-149.8677196,"800 E Dimond Blvd #3-011, Anchorage, AK 99515, United States",ChIJhwSSWNCZyFYRtXOPhru51nE,/biz/l-and-l-hawaiian-barbecue-anchorage-2?osq=Restaurants,0.156887027539875,4.2,99577,32,22970,84,1,425,1.6,0,638,2.3,0,588,2.2,0,175,0.6,0,1801,39,1,3.5,1,111388,1,1,0
Yogo Delight,61.1841596,-149.8675765,"4007 Old Seward Hwy # 200, Anchorage, AK 99503, United States",ChIJT0w0d7yXyFYRcCATvyPkT6Y,/biz/yogo-delight-anchorage?osq=Restaurants,0.0997998732106367,4.4,99508,30,15722,41.3,0,3106,8.2,1,5326,14,1,5151,13.5,1,2930,7.7,1,1605,25.3,0,6.5,1,65430,0,1,0
Sushi Ya,61.1888211,-149.8675676,"3501 Old Seward Hwy, Anchorage, AK 99503, United States",ChIJOyWARdeZyFYR1U_9kBxkuRc,/biz/sushi-ya-anchorage?osq=Restaurants,0.117727805559909,3.6,99517,17,10461,66.2,1,581,3.7,0,1160,7.3,1,1605,10.2,1,259,1.6,0,1255,47.1,1,6.4,1,82619,0,1,1
Sis's Cafe & Catering,61.1712348,-149.8672403,"5445 Old Seward Hwy #4, Anchorage, AK 99518, United States",ChIJdfx12puXyFYRfAsUdsYiGeE,/biz/siss-cafe-and-catering-anchorage?osq=Restaurants,0.0085634955751444,4.2,99518,22,6234,58.1,0,259,2.4,0,553,5.2,0,1298,12.1,1,192,1.8,0,587,21.2,0,3,0,84045,0,1,0
Peanut Farm,61.1731525,-149.8671983,"5227 Old Seward Hwy, Anchorage, AK 99518, United States",ChIJ8yRvXqC72lYRfReah3s7iLo,/biz/peanut-farm-anchorage?osq=Restaurants,0.154886127680404,3.1,99577,32,22970,84,1,425,1.6,0,638,2.3,0,588,2.2,0,175,0.6,0,1801,39,1,3.5,1,111388,1,1,0
Phonatik,61.1456118,-149.8671331,"901 E Dimond Blvd, Anchorage, AK 99515, United States",ChIJJ3Qb1tCZyFYR2LbEuKFoQVE,/biz/phonatik-anchorage?osq=Restaurants,0.134535860409434,3.8,99518,22,6234,58.1,0,259,2.4,0,553,5.2,0,1298,12.1,1,192,1.8,0,587,21.2,0,3,0,84045,0,1,1
K's Kitchen,61.1841088,-149.8667895,"4007 Old Seward Hwy #450, Anchorage, AK 99503, United States",ChIJo1AKIM-XyFYRzpO25LX2Qus,/biz/ks-kitchen-anchorage?osq=Restaurants,0.125833429598398,5,99503,121,6167,47.4,0,1429,11,1,1206,9.3,1,1859,14.3,1,155,1.2,0,990,36.1,0,7.9,1,63338,0,0,0
Benji's Bakery & Cafe,61.1456041,-149.8664402,"901 E Dimond Blvd C, Anchorage, AK 99515, United States",ChIJYeIhHAOZyFYRpbkyKcPchso,/biz/benjis-bakery-and-cafe-anchorage?osq=Restaurants,0.142624383391891,4.6,99501,77,9223,57.8,0,1150,7.2,1,2000,12.5,1,1059,6.6,0,520,3.3,1,1160,34.8,0,7.2,1,61509,0,1,1
Jerry's,61.145083,-149.8649015,"919 E Dimond Blvd, Anchorage, AK 99515, United States",ChIJzZvPLNeZyFYREks9CsF4p2w,/biz/jerrys-anchorage?osq=Restaurants,0.147316284953693,4.4,99507,46,20110,55.2,0,1159,3.2,0,3042,8.4,1,6913,19,1,623,1.7,0,2127,30.2,0,4.7,1,88485,0,1,1
House of Bread Bakery,61.1469987,-149.8647998,"8130 Old Seward Hwy #108, Anchorage, AK 99518, United States",ChIJ03XN-taZyFYRyJOsRoEipLw,/biz/house-of-bread-bakery-anchorage?osq=Restaurants,0.0808183875899377,4,99515,80,15252,68.6,1,471,2.1,0,1002,4.5,0,1635,7.4,0,711,3.2,1,1098,39,1,4,1,106755,1,0,1
Asia Garden Chinese Restaurant,61.1500188,-149.8647611,"7828 Old Seward Hwy, Anchorage, AK 99518, United States",ChIJnxQaDNaZyFYRaM9TUCE_bn0,/biz/asia-garden-chinese-restaurant-anchorage?osq=Restaurants,0.0999092527209173,2.9,99518,22,6234,58.1,0,259,2.4,0,553,5.2,0,1298,12.1,1,192,1.8,0,587,21.2,0,3,0,84045,0,1,0
Harley's Old Thyme Cafe,61.1524223,-149.8647587,"7550 Old Seward Hwy, Anchorage, AK 99518, United States",ChIJO_n5D36XyFYRvJBAFXVDwaM,/biz/harleys-old-thyme-cafe-anchorage-2?osq=Restaurants,0.0708450654453367,3.8,99503,121,6167,47.4,0,1429,11,1,1206,9.3,1,1859,14.3,1,155,1.2,0,990,36.1,0,7.9,1,63338,0,0,0
Judy's Cafe,61.1152054,-149.864476,"11620 Old Seward Hwy, Anchorage, AK 99515, United States",ChIJb-8TGJeZyFYRTap-omZGIvk,/biz/judys-cafe-anchorage?osq=Restaurants,0.0573244775785283,4.3,99502,17,15845,62.8,1,588,2.3,0,2954,11.7,1,2149,8.5,0,516,2,0,1161,25.2,0,5.4,1,94355,1,1,0
Melt,61.2178566,-149.8633984,"1033 E 5th Ave, Anchorage, AK 99501, United States",ChIJt1coxDqWyFYRVPQSajGsBr0,/biz/melt-anchorage?osq=Restaurants,0.127719796109488,4.5,99515,80,15252,68.6,1,471,2.1,0,1002,4.5,0,1635,7.4,0,711,3.2,1,1098,39,1,4,1,106755,1,0,0
Lucky Wishbone,61.2178566,-149.8633984,"1033 E 5th Ave, Anchorage, AK 99501, United States",ChIJt1coxDqWyFYRVPQSajGsBr0,/biz/lucky-wishbone-anchorage?osq=Restaurants,0.117624914720287,3.7,99518,22,6234,58.1,0,259,2.4,0,553,5.2,0,1298,12.1,1,192,1.8,0,587,21.2,0,3,0,84045,0,1,0
907 Alehouse & Grill,61.1481401,-149.8631319,"8001 Old Seward Hwy, Anchorage, AK 99518, United States",ChIJsX90-NaZyFYRGJ_WD0iQlaA,/biz/907-alehouse-and-grill-anchorage?osq=Restaurants,0.13060141647734,3.4,99503,121,6167,47.4,0,1429,11,1,1206,9.3,1,1859,14.3,1,155,1.2,0,990,36.1,0,7.9,1,63338,0,0,1
Manhattan Restaurant & Lounge,61.1183651,-149.8630979,"11321 Old Seward Hwy, Anchorage, AK 99515, United States",ChIJgTXMfZaZyFYRSUh_XYLxcOc,/biz/manhattan-restaurant-and-lounge-anchorage?osq=Restaurants,0.132540295743775,3.3,99503,121,6167,47.4,0,1429,11,1,1206,9.3,1,1859,14.3,1,155,1.2,0,990,36.1,0,7.9,1,63338,0,0,0
Mexico In Alaska Restaurant,61.154811,-149.8630738,"7305 Old Seward Hwy, Anchorage, AK 99518, United States",ChIJPTk89H6XyFYRGygLP2EH6uo,/biz/mexico-in-alaska-restaurant-anchorage?osq=Restaurants,0.0551587713990747,3.6,99503,121,6167,47.4,0,1429,11,1,1206,9.3,1,1859,14.3,1,155,1.2,0,990,36.1,0,7.9,1,63338,0,0,0
Boom Ba Laddy's,61.1417158,-149.8630653,"8801 Old Seward Hwy, Anchorage, AK 99515, United States",ChIJAQAAALeXyFYRCXnYCqTlOAM,/biz/boom-ba-laddys-anchorage?osq=Restaurants,0.123739939402246,3.3,99501,77,9223,57.8,0,1150,7.2,1,2000,12.5,1,1059,6.6,0,520,3.3,1,1160,34.8,0,7.2,1,61509,0,1,0
Top Bop - South,61.1378187,-149.862843,"9191 Old Seward Hwy STE 18, Anchorage, AK 99515, United States",ChIJ6RozecGZyFYR5yTMX5eoQXM,/biz/top-bop-south-anchorage-6?osq=Restaurants,0.0603536211351603,3.8,99507,46,20110,55.2,0,1159,3.2,0,3042,8.4,1,6913,19,1,623,1.7,0,2127,30.2,0,4.7,1,88485,0,1,0
"Suite 100 Restaurant, Bar & Lounge",61.1441745,-149.8627901,"1000 E Dimond Blvd #100, Anchorage, AK 99515, United States",ChIJ59Y8sdCZyFYRx9_A_xli1rY,/biz/suite-100-restaurant-bar-and-lounge-anchorage?osq=Restaurants,0.128855640450365,3.7,99503,121,6167,47.4,0,1429,11,1,1206,9.3,1,1859,14.3,1,155,1.2,0,990,36.1,0,7.9,1,63338,0,0,1
Jeepney by Adobo Grill,61.137909,-149.8624687,"9191 Old Seward Hwy, 2477 Arctic Blvd, Anchorage, AK 99515, United States",ChIJrVZRtDuZyFYRH8uvG0VL7ws,/biz/jeepney-by-adobo-grill-anchorage?osq=Restaurants,0.12019667325642,3.4,99501,77,9223,57.8,0,1150,7.2,1,2000,12.5,1,1059,6.6,0,520,3.3,1,1160,34.8,0,7.2,1,61509,0,1,0
Main Event Grill,61.1522473,-149.8624301,"1041 E 76th Ave #1A, Anchorage, AK 99518, United States",ChIJ1_f4iZ6XyFYRJ2To_nICb-s,/biz/main-event-grill-anchorage-2?osq=Restaurants,0.117301686318214,3.5,99517,17,10461,66.2,1,581,3.7,0,1160,7.3,1,1605,10.2,1,259,1.6,0,1255,47.1,1,6.4,1,82619,0,1,0
Bombay South Indian Cuisine,61.1081426,-149.8623281,"1120 Huffman Rd #5, Anchorage, AK 99515, United States",ChIJz_rLT0WZyFYRaFaU3_t1apo,/biz/bombay-south-indian-cuisine-anchorage?osq=Restaurants,0.0426187014530073,3.9,99507,46,20110,55.2,0,1159,3.2,0,3042,8.4,1,6913,19,1,623,1.7,0,2127,30.2,0,4.7,1,88485,0,1,0
Winkys Wings,61.1380666,-149.8623203,"9191 Old Seward Hwy, Anchorage, AK 99515, United States",ChIJnV6UKsWZyFYRMHVIwutj8zw,/biz/winkys-wings-anchorage-2?osq=Restaurants,0.0553619755372563,3.9,99518,22,6234,58.1,0,259,2.4,0,553,5.2,0,1298,12.1,1,192,1.8,0,587,21.2,0,3,0,84045,0,1,0
Miso Sushi,61.1449922,-149.8612137,"1111E E Dimond Blvd, Anchorage, AK 99515, United States",ChIJzTQNrw6ZyFYR7Cybbn8QQGk,/biz/miso-sushi-anchorage?osq=Restaurants,0.139523189915244,4.5,99518,22,6234,58.1,0,259,2.4,0,553,5.2,0,1298,12.1,1,192,1.8,0,587,21.2,0,3,0,84045,0,1,1
Mochileros Street Food,61.130153,-149.8601063,"1221 China Berry Cir, Anchorage, AK 99515, United States",ChIJC430E1yZyFYRj-PAxx3KNgM,/biz/mochileros-street-food-anchorage?osq=Restaurants,0.081894162950652,4.3,99517,17,10461,66.2,1,581,3.7,0,1160,7.3,1,1605,10.2,1,259,1.6,0,1255,47.1,1,6.4,1,82619,0,1,0
Fresh Cup Playhouse,61.1450376,-149.8595021,"1201 E Dimond Blvd, Anchorage, AK 99515, United States",ChIJ-5oBFuSZyFYRvOjX1YRHHiI,/biz/fresh-cup-playhouse-anchorage?osq=Restaurants,0.089416664692806,4.8,99503,121,6167,47.4,0,1429,11,1,1206,9.3,1,1859,14.3,1,155,1.2,0,990,36.1,0,7.9,1,63338,0,0,1
reHARU Sushi,61.145239,-149.858819,"1231 E Dimond Blvd, Anchorage, AK 99515, United States",ChIJM6YhhjKYyFYR6P9YYWQ229s,/biz/reharu-sushi-anchorage-2?osq=Restaurants,0.125235901361031,4.1,99515,80,15252,68.6,1,471,2.1,0,1002,4.5,0,1635,7.4,0,711,3.2,1,1098,39,1,4,1,106755,1,0,1
Southside Grill,61.1038368,-149.8582864,"12870 Old Seward Hwy, Anchorage, AK 99515, United States",ChIJiWQnZYOZyFYRIQzrRurQ_YU,/biz/southside-grill-anchorage?osq=Restaurants,0.17712430669059,4.5,99515,80,15252,68.6,1,471,2.1,0,1002,4.5,0,1635,7.4,0,711,3.2,1,1098,39,1,4,1,106755,1,0,0
Southside Bistro,61.1097545,-149.8575437,"1320 Huffman Park Dr, Anchorage, AK 99515, United States",ChIJGRTkk5qZyFYRBhIaNXe6448,/biz/southside-bistro-anchorage-2?osq=Restaurants,0.15744722860405,4.2,99577,32,22970,84,1,425,1.6,0,638,2.3,0,588,2.2,0,175,0.6,0,1801,39,1,3.5,1,111388,1,1,0
Blaine's Kitchen,61.1796658,-149.8562609,"1436 E Tudor Rd, Anchorage, AK 99507, United States",ChIJIzzLpQWXyFYRPCb8lDgEr6A,/biz/blaines-kitchen-anchorage?osq=Restaurants,0.038249993003196,3,99501,77,9223,57.8,0,1150,7.2,1,2000,12.5,1,1059,6.6,0,520,3.3,1,1160,34.8,0,7.2,1,61509,0,1,0
Bread and Brew Alaska,61.180326,-149.8535783,"1450 E Tudor Rd STE 100, Anchorage, AK 99507, United States",ChIJv_WokqOXyFYR2JBEcmv78To,/biz/bread-and-brew-alaska-anchorage?osq=Restaurants,0.19262954365029,4,99507,46,20110,55.2,0,1159,3.2,0,3042,8.4,1,6913,19,1,623,1.7,0,2127,30.2,0,4.7,1,88485,0,1,0
TaTu BBQ,61.0982203387752,-149.850767044854,"13500 Old Seward Hwy, Anchorage, AK 99515, United States",ChIJn7uZ5RIhnlQRfwM9QNSaksU,/biz/tatu-bbq-anchorage?osq=Restaurants,0.0169584769027015,3.8,99577,32,22970,84,1,425,1.6,0,638,2.3,0,588,2.2,0,175,0.6,0,1801,39,1,3.5,1,111388,1,1,0
Davons' Place House of Soul,61.0980399,-149.8505007,"13500 Old Seward Hwy, Anchorage, AK 99515, United States",ChIJY7goQ5GZyFYRLSPCUWDSodc,/biz/davons-place-house-of-soul-anchorage?osq=Restaurants,0.008507733552156,3.7,99503,121,6167,47.4,0,1429,11,1,1206,9.3,1,1859,14.3,1,155,1.2,0,990,36.1,0,7.9,1,63338,0,0,0
Long Branch Saloon,61.1451017,-149.8493037,"1737 E Dimond Blvd, Anchorage, AK 99507, United States",ChIJz9sF59iZyFYRVfNRaIMlr60,/biz/long-branch-saloon-anchorage?osq=Restaurants,0.119554639093409,3.8,99508,30,15722,41.3,0,3106,8.2,1,5326,14,1,5151,13.5,1,2930,7.7,1,1605,25.3,0,6.5,1,65430,0,1,0
Seward's Folly Bar & Grill,61.1407056,-149.8466362,"1811 Abbott Rd, Anchorage, AK 99507, United States",ChIJcZK6gt6ZyFYRQzE1qsaXOzg,/biz/sewards-folly-bar-and-grill-anchorage?osq=Restaurants,0.112984393456824,4.9,99503,121,6167,47.4,0,1429,11,1,1206,9.3,1,1859,14.3,1,155,1.2,0,990,36.1,0,7.9,1,63338,0,0,0
Rice Garden Anchorage,61.2183732,-149.8459737,"400 Sitka St, Anchorage, AK 99501, United States",ChIJRfpiZc-XyFYR0QJDIIz28Uc,/biz/rice-garden-anchorage-anchorage-2?osq=Restaurants,0.159454071803167,4.4,99501,77,9223,57.8,0,1150,7.2,1,2000,12.5,1,1059,6.6,0,520,3.3,1,1160,34.8,0,7.2,1,61509,0,1,0
Los Arcos,61.1661773,-149.8453373,"2000 E Dowling Rd, Anchorage, AK 99507, United States",ChIJT8ImqXaXyFYRLWdq7ti3B0A,/biz/los-arcos-anchorage?osq=Restaurants,0.063692395926738,3.8,99504,62,21807,52.2,0,4213,10.1,1,2973,7.1,0,4912,11.8,1,1703,4.1,1,1965,27.5,0,5.4,1,75956,0,0,0
