Restaurant,Latitude,Longitude,Address,PlaceID,URL,ZIP,AverageExposure,Stars,Count,White,ofWhite,WN,Black,ofBlack,BN,AmericanIndaian,ofAI,AIN,Asian,ofAisan,AN,NativeHawiian,ofNativeHawiian,NHN,Edu,ofEDU,HED,Unemployment ,HUne,Wealth,HWe,Attraction,Hotspot
NOLA Poboys,29.960406,-90.063885,"908 Bourbon St, New Orleans, LA 70116, United States",ChIJ4byyRxCmIIYROLZwicJz86E,/biz/nola-poboys-new-orleans-2?osq=Restaurants,70116,0.16032605325809,4.4,45,6099,51,1,5299,44.3,0,6,0.1,0,37,0.3,0,0,0,0,1008,45.9,1,11.4,1,36842,0,1,1
Chemin à la mer,29.9490488,-90.0638056,"2 Canal St, New Orleans, LA 70130, United States",ChIJJ1IJEW2mIIYRWGEYqk7J47Y,/biz/chemin-%C3%A0-la-mer-new-orleans-2?osq=Restaurants,70130,0.136797992546392,4,107,8970,63.7,1,4226,30,0,33,0.2,0,195,1.4,0,0,0,0,2547,66.4,1,4.1,1,65132,1,1,0
The Green Room Kukhnya,29.9693101,-90.0637507,"1300 St Bernard Ave, New Orleans, LA 70116, United States",ChIJLRqlQ7enIIYRhll2fpNZkqg,/biz/the-green-room-kukhnya-new-orleans-2?osq=Restaurants,70117,0.0343367031409607,4.4,25,8498,31,0,17755,64.8,1,55,0.2,0,183,0.7,0,6,0,0,1857,38.4,0,13.5,1,29663,0,0,0
Muriel's Jackson Square,29.9584308,-90.063219,"801 Chartres St, New Orleans, LA 70116, United States",ChIJaS5FoBGmIIYRTXOjqm3XxI0,/biz/muriels-jackson-square-new-orleans?osq=Restaurants,70116,0.17048735887245,4.5,45,6099,51,1,5299,44.3,0,6,0.1,0,37,0.3,0,0,0,0,1008,45.9,1,11.4,1,36842,0,1,1
Café Amelie,29.9599163,-90.0629618,"900 Royal St, New Orleans, LA 70116, United States",ChIJITpR_xCmIIYRHDBJmP3UXZg,/biz/caf%C3%A9-amelie-new-orleans-2?osq=Restaurants,70116,0.971030991785717,4.3,45,6099,51,1,5299,44.3,0,6,0.1,0,37,0.3,0,0,0,0,1008,45.9,1,11.4,1,36842,0,1,1
Buffa's Bar & Restaurant,29.9654359,-90.0625485,"1001 Esplanade Ave, New Orleans, LA 70116, United States",ChIJCy9LUxqmIIYRF1wcRNHVy6E,/biz/buffas-restaurant-and-lounge-new-orleans?osq=Restaurants,70116,0.129945242842072,4.1,45,6099,51,1,5299,44.3,0,6,0.1,0,37,0.3,0,0,0,0,1008,45.9,1,11.4,1,36842,0,1,0
Monty's on the Square,29.9576883,-90.0620614,"801 Decatur St, New Orleans, LA 70116, United States",ChIJM0lEaRGmIIYR3aJaNIARXHs,/biz/montys-on-the-square-new-orleans?osq=Restaurants,70116,0.0650743696316787,3.8,45,6099,51,1,5299,44.3,0,6,0.1,0,37,0.3,0,0,0,0,1008,45.9,1,11.4,1,36842,0,1,1
Today's Cajun Seafood,29.967372,-90.0619562,"1700 McShane Pl, New Orleans, LA 70116, United States",ChIJV4ZZc6ioIIYRmTS02QrJF54,/biz/todays-cajun-seafood-new-orleans?osq=Restaurants,70116,0.123060710360769,3.9,45,6099,51,1,5299,44.3,0,6,0.1,0,37,0.3,0,0,0,0,1008,45.9,1,11.4,1,36842,0,1,0
Manolito,29.9584299,-90.0617673,"508 Dumaine St, New Orleans, LA 70116, United States",ChIJ__8UPhGmIIYRHnHSYbF8mu4,/biz/manolito-new-orleans-2?osq=Restaurants,70116,0.142155557409737,4,45,6099,51,1,5299,44.3,0,6,0.1,0,37,0.3,0,0,0,0,1008,45.9,1,11.4,1,36842,0,1,1
Port Of Call,29.9644358,-90.0617247,"838 Esplanade Ave, New Orleans, LA 70116, United States",ChIJ6ZxTOBqmIIYRYjp6qTmAmKQ,/biz/port-of-call-new-orleans-2?osq=Restaurants,70116,0.157014569083845,4,45,6099,51,1,5299,44.3,0,6,0.1,0,37,0.3,0,0,0,0,1008,45.9,1,11.4,1,36842,0,1,0
