Restaurant,Latitude,Longitude,Address,Place-ID,URL,ZIP,Avg. exposure,Stars,White,ofWhite,Black,ofBlack,AmericanIndaian,ofAI,Asian,ofAisan,NativeHawiian,ofNativeHawiian,Edu,ofEDU,Unemployment,Wealth,Attraction,Hotspot
Sugar Taco,34.0836476,-118.3477819,"7257 Melrose Ave, Los Angeles, CA 90046, United States",ChIJKwr07hO_woARgmDctTKwG6g,/biz/sugar-taco-los-angeles-2?osq=Restaurants,90046,0.0709300933333333,4.4,35153,72.1,2825,5.8,194,0.4,3224,6.6,46,0.1,9364,69.2,8.2,77162,0,0
Bossa Nova on Sunset,34.0982382,-118.346581,"7181 Sunset Blvd, Los Angeles, CA 90046, United States",ChIJJ0YDr9i-woAROWZwJTnbiX0,/biz/bossa-nova-brazilian-cuisine-los-angeles-4?osq=Restaurants,90046,0.114651818333333,3.7,35153,72.1,2825,5.8,194,0.4,3224,6.6,46,0.1,9364,69.2,8.2,77162,0,0
Jones,34.0908821,-118.3464231,"7205 Santa Monica Blvd, West Hollywood, CA 90046, United States",ChIJ_ZaCK9a-woARo6DSOmfgk4s,/biz/jones-west-hollywood-2?osq=Restaurants,90046,0.0446137556666667,4,35153,72.1,2825,5.8,194,0.4,3224,6.6,46,0.1,9364,69.2,8.2,77162,0,0
Fratelli Cafe,34.0833396,-118.3463773,"7200 Melrose Ave, Los Angeles, CA 90046, United States",ChIJyfwuqyq5woARZvjaQJAOeGk,/biz/fratelli-cafe-los-angeles?osq=Restaurants,90046,0.166536042333333,4.3,35153,72.1,2825,5.8,194,0.4,3224,6.6,46,0.1,9364,69.2,8.2,77162,0,0
Breakfast Republic,34.0908658,-118.3460668,"7141 Santa Monica Blvd Suite 500, West Hollywood, CA 90046, United States",ChIJecqkMba_woARciESQNH9FJA,/biz/breakfast-republic-west-hollywood-2?osq=Restaurants,90046,0.0128169073333333,4.1,35153,72.1,2825,5.8,194,0.4,3224,6.6,46,0.1,9364,69.2,8.2,77162,0,0
Formosa Cafe,34.0904935,-118.3460438,"7156 Santa Monica Blvd, West Hollywood, CA 90046, United States",ChIJdU3LK9a-woARss6xbZxQxMs,/biz/formosa-cafe-west-hollywood-2?osq=Restaurants,90046,0.100443099666667,3.9,35153,72.1,2825,5.8,194,0.4,3224,6.6,46,0.1,9364,69.2,8.2,77162,0,0
Supremo,34.0587144,-118.3458989,"901 S La Brea Ave #2, Los Angeles, CA 90036, United States",ChIJS6w44sa5woARgMDuTqjDntw,/biz/supremo-los-angeles?osq=Restaurants,90036,0.174188320333333,4.6,23600,62.8,1934,5.1,75,0.2,7529,20,5,0,7655,78.4,8.6,87868,1,0
Caribbean Soul Kitchen LA,34.0621032,-118.3455302,"5354 Wilshire Blvd, Los Angeles, CA 90036, United States",ChIJ35hnUO-3woAR23KvTbQYGaI,/biz/caribbean-soul-kitchen-la-los-angeles?osq=Restaurants,90036,0.03932753,4.3,23600,62.8,1934,5.1,75,0.2,7529,20,5,0,7655,78.4,8.6,87868,1,0
Karibbean Cuisine,34.0621032,-118.3455302,"5354 Wilshire Blvd, Los Angeles, CA 90036, United States",ChIJ35hnUO-3woAR23KvTbQYGaI,/biz/karibbean-cuisine-los-angeles?osq=Restaurants,90019,0.155937017666667,5,19471,31.9,10822,17.7,390,0.6,10762,17.6,216,0.4,4304,40.3,8.2,61616,0,0
Egg Tuck - West Hollywood,34.0985025,-118.3452992,"7131 Sunset Blvd B, Los Angeles, CA 90046, United States",ChIJe_YXkfa_woARL2XZBsVFos8,/biz/egg-tuck-west-hollywood-west-hollywood?osq=Restaurants,90046,0.04544661,4.2,35153,72.1,2825,5.8,194,0.4,3224,6.6,46,0.1,9364,69.2,8.2,77162,0,0
Three Borders Brunch & Grill,34.0574612,-118.3451493,"5269 W Olympic Blvd, Los Angeles, CA 90036, United States",ChIJYyXM-R25woAR6h-8jr1yaYw,/biz/three-borders-brunch-and-grill-los-angeles-3?osq=Restaurants,90036,0.0899941216666667,4.8,23600,62.8,1934,5.1,75,0.2,7529,20,5,0,7655,78.4,8.6,87868,1,0
Met Him At A Bar,34.0604174,-118.344915,"801 S La Brea Ave, Los Angeles, CA 90036, United States",ChIJr_mnX1C5woARwarSFr8qd0s,/biz/met-him-at-a-bar-los-angeles-3?osq=Restaurants,90036,0.250804061666667,4.4,23600,62.8,1934,5.1,75,0.2,7529,20,5,0,7655,78.4,8.6,87868,1,0
Whistlin' Dixie,34.0988466,-118.3448746,"1523 N La Brea Ave SUITE 207, Los Angeles, CA 90028, United States",ChIJt2xl9J6_woARFjTJNQ0ORXU,/biz/whistlin-dixie-los-angeles-2?osq=Restaurants,90028,0.110006657666667,4.8,15755,52.7,2733,9.1,341,1.1,3482,11.7,0,0,5644,63,10.5,52814,1,0
Met Her At A Bar,34.0606376,-118.3448225,"759 S La Brea Ave, Los Angeles, CA 90036, United States",ChIJCR8mNeC4woARNOtGMrgsKeE,/biz/met-her-at-a-bar-los-angeles-2?osq=Restaurants,90036,0.276190981,4.5,23600,62.8,1934,5.1,75,0.2,7529,20,5,0,7655,78.4,8.6,87868,1,0
Tatsu Ramen,34.0836463,-118.3446589,"7111 Melrose Ave, Los Angeles, CA 90046, United States",ChIJSdpItSq_woARWdnhOGkp47U,/biz/tatsu-ramen-los-angeles-4?osq=Restaurants,90046,0.0955010203333333,4,35153,72.1,2825,5.8,194,0.4,3224,6.6,46,0.1,9364,69.2,8.2,77162,0,0
The Sycamore Kitchen,34.0723645,-118.3443467,"143 S La Brea Ave, Los Angeles, CA 90036, United States",ChIJo02CONi4woAR2ye_8MlbqnQ,/biz/the-sycamore-kitchen-los-angeles-2?osq=Restaurants,90036,0.117964087666667,4,23600,62.8,1934,5.1,75,0.2,7529,20,5,0,7655,78.4,8.6,87868,1,0
Anan,34.0682874,-118.3437991,"318 S La Brea Ave, Los Angeles, CA 90036, United States",ChIJGQTKw0i5woARGYKn4-ox-vM,/biz/anan-los-angeles-4?osq=Restaurants,90036,0.0739723463333333,4.2,23600,62.8,1934,5.1,75,0.2,7529,20,5,0,7655,78.4,8.6,87868,1,0
Republique,34.0640856,-118.3437963,"624 S La Brea Ave, Los Angeles, CA 90036, United States",ChIJqaA5zt-4woARHGIEp3XlsZo,/biz/republique-los-angeles-6?osq=Restaurants,90036,0.372894491,4.2,23600,62.8,1934,5.1,75,0.2,7529,20,5,0,7655,78.4,8.6,87868,1,1
Mother Tongue,34.0886994,-118.3435677,"960 N La Brea Ave 4th Floor, Los Angeles, CA 90038, United States",ChIJKcVRacG_woAR5EBGiWQBmsg,/biz/mother-tongue-los-angeles-2?osq=Restaurants,90038,0.261735230666667,4,11827,42.2,1896,6.8,396,1.4,1873,6.7,83,0.3,4118,54.6,7.1,51096,0,1
Mr. T,34.088674,-118.343118,"953 N Sycamore Ave, Los Angeles, CA 90038, United States",ChIJQZ3_fj6_woARTym0tY6Nn8Y,/biz/mr-t-los-angeles?osq=Restaurants,90038,0.200889271333333,4.7,11827,42.2,1896,6.8,396,1.4,1873,6.7,83,0.3,4118,54.6,7.1,51096,0,0
Tartine Sycamore,34.0874916,-118.3429215,"911 N Sycamore Ave, Los Angeles, CA 90038, United States",ChIJ3_dBqxy_woARX4fgjATj6yg,/biz/tartine-sycamore-west-hollywood?osq=Restaurants,90038,0.061786649,4,11827,42.2,1896,6.8,396,1.4,1873,6.7,83,0.3,4118,54.6,7.1,51096,0,0
Mizlala Sycamore,34.089028,-118.3426054,"7007 Romaine St Suite 103, Los Angeles, CA 90038, United States",ChIJs7yxb_q_woARYOjzFY6gMIg,/biz/mizlala-sycamore-los-angeles?osq=Restaurants,90038,0.0622850946666667,3.8,11827,42.2,1896,6.8,396,1.4,1873,6.7,83,0.3,4118,54.6,7.1,51096,0,1
Casablanca Moroccan kitchens,34.0835663,-118.3423714,"6919 Melrose Ave, Los Angeles, CA 90038, United States",ChIJOwwMz9S4woARMowrYr4zTOs,/biz/casablanca-moroccan-kitchens-los-angeles?osq=Restaurants,90038,0.160010422333333,4.7,11827,42.2,1896,6.8,396,1.4,1873,6.7,83,0.3,4118,54.6,7.1,51096,0,1
OUI MELROSE,34.0836755,-118.341956,"6909 Melrose Ave, Los Angeles, CA 90038, United States",ChIJdzh0xcu5woAR2laBSanG1ko,/biz/oui-melrose-los-angeles-2?osq=Restaurants,90038,0.144257023,4.6,11827,42.2,1896,6.8,396,1.4,1873,6.7,83,0.3,4118,54.6,7.1,51096,0,1
25 Degrees,34.1013583,-118.3419472,"7000 Hollywood Blvd, Los Angeles, CA 90028, United States",ChIJazD_QyG_woAROx09d4paOSA,/biz/25-degrees-los-angeles?osq=Restaurants,90028,0.0856968546666667,3.7,15755,52.7,2733,9.1,341,1.1,3482,11.7,0,0,5644,63,10.5,52814,1,1
The Barish,34.1012777,-118.3416128,"7000 Hollywood Blvd, Los Angeles, CA 90028, United States",ChIJqcxg_W-_woAR3Oab_YskpB0,/biz/the-barish-los-angeles?osq=Restaurants,90028,0.0126730763333333,4.2,15755,52.7,2733,9.1,341,1.1,3482,11.7,0,0,5644,63,10.5,52814,1,0
Genwa Korean BBQ Mid Wilshire,34.0623715,-118.3410558,"5115 Wilshire Blvd, Los Angeles, CA 90036, United States",ChIJqQ4Ix-C4woARVgFkT95yhko,/biz/genwa-korean-bbq-mid-wilshire-los-angeles?osq=Restaurants,90036,0.0879122033333333,4.4,23600,62.8,1934,5.1,75,0.2,7529,20,5,0,7655,78.4,8.6,87868,1,0
Japan House Los Angeles,34.1023935,-118.3400505,"6801 Hollywood Blvd, Los Angeles, CA 90028, United States",ChIJLbAh1CO_woARwJCuww-aX_4,/biz/japan-house-los-angeles-los-angeles-2?osq=Restaurants,90028,0.069116813,4,15755,52.7,2733,9.1,341,1.1,3482,11.7,0,0,5644,63,10.5,52814,1,0
Meteora,34.0837081,-118.3399396,"6703 Melrose Ave, Los Angeles, CA 90038, United States",ChIJ9-5CroC5woARfbFyVsudp1c,/biz/meteora-los-angeles-2?osq=Restaurants,90038,0.152719214,4,11827,42.2,1896,6.8,396,1.4,1873,6.7,83,0.3,4118,54.6,7.1,51096,0,0
Osteria Mozza,34.0833021,-118.3388403,"6602 Melrose Ave, Los Angeles, CA 90038, United States",ChIJBacpEtO4woAR8TxewBOIolo,/biz/osteria-mozza-los-angeles?osq=Restaurants,90038,0.0383005633333333,3.9,11827,42.2,1896,6.8,396,1.4,1873,6.7,83,0.3,4118,54.6,7.1,51096,0,0
Pizzeria Mozza,34.083117,-118.3388375,"641 N Highland Ave, Los Angeles, CA 90036, United States",ChIJbWvuoNO4woARx2Xy5MvJ138,/biz/pizzeria-mozza-los-angeles-4?osq=Restaurants,90036,0.0556888126666667,4,23600,62.8,1934,5.1,75,0.2,7529,20,5,0,7655,78.4,8.6,87868,1,0
Next Door,34.092327,-118.3384489,"1154 N Highland Ave, Los Angeles, CA 90038, United States",ChIJv9_z5S6_woARLiJDrcfqi_c,/biz/next-door-los-angeles?osq=Restaurants,90036,0.034755927,4.3,23600,62.8,1934,5.1,75,0.2,7529,20,5,0,7655,78.4,8.6,87868,1,0
Sumac Mediterranean Cuisine,34.09246,-118.3382046,"1156 N Highland Ave, Los Angeles, CA 90038, United States",ChIJEXmiOFG_woARx6KeQ3C6Pfg,/biz/sumac-mediterranean-cuisine-los-angeles?osq=Restaurants,90038,0.095037119,4.6,11827,42.2,1896,6.8,396,1.4,1873,6.7,83,0.3,4118,54.6,7.1,51096,0,0
Petit Trois,34.0841463,-118.3381902,"718 N Highland Ave, Los Angeles, CA 90038, United States",ChIJydzjPNO4woAR9la4IiglqbA,/biz/petit-trois-los-angeles-15?osq=Restaurants,90038,0.0779652216666667,4,11827,42.2,1896,6.8,396,1.4,1873,6.7,83,0.3,4118,54.6,7.1,51096,0,0
Fat Sal's Deli - Hollywood,34.0945304,-118.3381642,"1300 N Highland Ave, Los Angeles, CA 90028, United States",ChIJa4_vbS-_woARKmPslo3M6HY,/biz/fat-sals-deli-hollywood-los-angeles?osq=Restaurants,90028,0.128217280666667,3.9,15755,52.7,2733,9.1,341,1.1,3482,11.7,0,0,5644,63,10.5,52814,1,0
