Name_x,URL,ZIP,Avg. Exposure,Stars,Latitude,Longitude,Address,Place-ID,White,ofWhite,Black,ofBlack,AmericanIndaian,ofAI,Asian,ofAisan,NativeHawiian,ofNativeHawiian,Edu,ofEDU,Unemployment,Wealth,Attractions,Hotspot
InoVino,/biz/inovino-san-francisco?osq=Restaurants,94117,0.02559874,4.4,37.7658617,-122.4503678,"108-B Carl St, San Francisco, CA 94117, United States",ChIJXeSsRFSHhYAR8E284l_0VUM,28656,70.4,2120,5.2,204,0.5,4957,12.2,0,0,12173,86.4,2.8,174419,1,0
Zazie,/biz/zazie-san-francisco?osq=Restaurants,94117,0.164259809,4.2,37.7652466,-122.4500002,"941 Cole St, San Francisco, CA 94117, United States",ChIJgSeZU1SHhYARQU-BswtkEiY,28656,70.4,2120,5.2,204,0.5,4957,12.2,0,0,12173,86.4,2.8,174419,1,1
Cafe Reverie,/biz/cafe-reverie-san-francisco?osq=Restaurants,94117,0.0879971153333333,4.8,37.7661174,-122.4498888,"848 Cole St, San Francisco, CA 94117, United States",ChIJJz9KXFSHhYARKuTx7XrA5k4,28656,70.4,2120,5.2,204,0.5,4957,12.2,0,0,12173,86.4,2.8,174419,1,1
Cole Valley Tavern,/biz/cole-valley-tavern-san-francisco?osq=Restaurants,94117,0.0791896503333333,4.1,37.7657223,-122.4497586,"900 Cole St, San Francisco, CA 94117, United States",ChIJ90LVzniHhYARSCPZbaWP-AY,28656,70.4,2120,5.2,204,0.5,4957,12.2,0,0,12173,86.4,2.8,174419,1,1
The House of Hummus,/biz/the-house-of-hummus-san-francisco?osq=Restaurants,94118,0.079944476,3.9,37.7821854,-122.4480204,"5 Masonic Ave, San Francisco, CA 94118, United States",ChIJ5eS5q2-HhYARo3NohyIXPVU,22014,53.1,681,1.6,97,0.2,13753,33.2,72,0.2,7921,86.3,4.3,139043,1,1
Smokin' Warehouse Barbecue,/biz/smokin-warehouse-barbecue-san-francisco-17?osq=Restaurants,94118,0.0744342836666667,4,37.7882366,-122.4476918,"3336 Sacramento St, San Francisco, CA 94118, United States",ChIJpZkYRzOHhYARYYMim8-81V4,22014,53.1,681,1.6,97,0.2,13753,33.2,72,0.2,7921,86.3,4.3,139043,1,0
Presidio Kebab,/biz/presidio-kebab-san-francisco?osq=Restaurants,94115,0.153729750333333,4.6,37.7880728,-122.4468073,"3277 Sacramento St, San Francisco, CA 94115, United States",ChIJLxaD-P2HhYARnkAVV3IkuX4,18358,53.7,3687,10.8,124,0.4,6742,19.7,21,0.1,9017,91.1,3.7,138023,0,1
Cote Ouest Bistro,/biz/cote-ouest-bistro-san-francisco?osq=Restaurants,94123,0.139469217333333,2.8,37.7983317,-122.4460622,"2953 Baker St, San Francisco, CA 94123, United States",ChIJ2SsDlYSBhYARNlV6--dxjHg,20187,77.6,242,0.9,59,0.2,2447,9.4,107,0.4,8563,94.6,2.5,194098,1,1
1428 HAIGHT Patio Cafe & Crepery,/biz/1428-haight-patio-cafe-and-crepery-san-francisco?osq=Restaurants,94117,0.107030875666667,3.9,37.7702476,-122.4459574,"1428 Haight St, San Francisco, CA 94117, United States",ChIJZcIExqyAhYARqLsfdzR85FU,28656,70.4,2120,5.2,204,0.5,4957,12.2,0,0,12173,86.4,2.8,174419,1,1
Amitis Caf%C3%A9,/biz/amitis-caf%C3%A9-san-francisco-2?osq=Restaurants,94117,0.101831968333333,4.5,37.7738524,-122.4459164,"800 Masonic Ave, San Francisco, CA 94117, United States",ChIJJTSHr7KAhYARK00bm8JQihQ,28656,70.4,2120,5.2,204,0.5,4957,12.2,0,0,12173,86.4,2.8,174419,1,1
Automat,/biz/automat-san-francisco-2?osq=Restaurants,94115,0.174402305333333,4.1,37.7772103,-122.4419555,"1801 McAllister St, San Francisco, CA 94115, United States",ChIJ-wf8ycGBhYARgJg9h1jZwNg,18358,53.7,3687,10.8,124,0.4,6742,19.7,21,0.1,9017,91.1,3.7,138023,0,1
Mamanoko,/biz/mamanoko-san-francisco-2?osq=Restaurants,94123,0.136565360333333,4.3,37.8000385,-122.4415291,"2317 Chestnut St, San Francisco, CA 94123, United States",ChIJeXQiItSAhYAR-O1a9npsyI0,20187,77.6,242,0.9,59,0.2,2447,9.4,107,0.4,8563,94.6,2.5,194098,1,1
opa cafe,/biz/opa-cafe-san-francisco?osq=Restaurants,94115,0.107643983333333,4.1,37.783966,-122.441488,"2401 Post St, San Francisco, CA 94115, United States",ChIJ9-Kw-7WAhYAR3edBmWNNZdU,18358,53.7,3687,10.8,124,0.4,6742,19.7,21,0.1,9017,91.1,3.7,138023,0,1
Tataki,/biz/tataki-san-francisco?osq=Restaurants,94115,0.035221768,4.7,37.7878715,-122.4410283,"2827 California St, San Francisco, CA 94115, United States",ChIJ33hHYcmAhYARwjfB2pmcuOA,18358,53.7,3687,10.8,124,0.4,6742,19.7,21,0.1,9017,91.1,3.7,138023,0,1
Roma Antica,/biz/roma-antica-san-francisco-3?osq=Restaurants,94123,0.132497656333333,4.5,37.7998847,-122.4410075,"3242 Scott St, San Francisco, CA 94123, United States",ChIJDRZeoNaAhYARw0Ts88GzCag,20187,77.6,242,0.9,59,0.2,2447,9.4,107,0.4,8563,94.6,2.5,194098,1,1
