Restaurant,Latitude,Longitude,Address,Place-ID,URL,Stars,ZIP,Attractions,Avg. Exposure,White,ofWhite,Black,ofBlack,AmericanIndaian,ofAI,Asian,ofAisan,NativeHawiian,ofNativeHawiian,Edu,ofEDU,Unemployment,Wealth,Hotspot
Paris Avenue,37.3101522,-121.8970161,"896 Willow St, San Jose, CA 95125, United States",ChIJCY0fr0czjoAR1Q475Aoq5wg,/biz/paris-avenue-san-jose-2?osq=Restaurants,5,95125,1,0.117619342,33319,62.3,1243,2.3,344,0.6,8044,15,119,0.2,3985,60.1,3.9,128452,0
626 Night Market Mini - Milpitas,37.6601135,-121.8969439,"4501 Pleasanton Ave, Pleasanton, CA 94566, United States",ChIJKYr7FAfpj4ARR8WDyAhkGZA,/biz/626-night-market-mini-milpitas-milpitas?osq=Restaurants,4.4,95035,0,0.0774452293333333,11436,14.3,2565,3.2,486,0.6,53762,67.4,136,0.2,10755,68.2,4.4,149223,0
Sizzling Lunch,37.3834018,-121.8968493,"1085 E Brokaw Rd #30, San Jose, CA 95131, United States",ChIJ5XQxMS3Nj4ARJWci9N3g58s,/biz/sizzling-lunch-san-jose-3?osq=Restaurants,4.1,95131,0,0.122093304,4380,13.9,792,2.5,111,0.4,22707,71.9,143,0.5,4524,76.4,5.8,151389,0
Vn Grill,37.3833333,-121.8966667,"1085 E Brokaw Rd #20, San Jose, CA 95131, United States",ChIJ3fUzKgnMj4ARcY0VDDCLLH4,/biz/vn-grill-san-jose?osq=Restaurants,2.8,95131,0,0.072448316,4380,13.9,792,2.5,111,0.4,22707,71.9,143,0.5,4524,76.4,5.8,151389,0
Dave's Hot Chicken,37.3831717,-121.8965618,"1085 E Brokaw Rd #10, San Jose, CA 95131, United States",ChIJHfkr-KbNj4ARUWQMdjg1iXc,/biz/daves-hot-chicken-san-jose?osq=Restaurants,4.3,95131,0,0.148622248,4380,13.9,792,2.5,111,0.4,22707,71.9,143,0.5,4524,76.4,5.8,151389,0
The Kebab Shop,37.3824013,-121.896512,"1078 E Brokaw Rd, San Jose, CA 95131, United States",ChIJ0929HGzNj4ARE7pNffe9PWk,/biz/the-kebab-shop-san-jose-2?osq=Restaurants,4.1,95118,0,0.148217071333333,18184,55.6,476,1.5,132,0.4,7376,22.6,190,0.6,1881,53.8,5,130745,0
Fire and Rice,37.3824035,-121.8965117,"1078 E Brokaw Rd #40, San Jose, CA 95131, United States",ChIJfZ6H2sPNj4ARUQQIKp79F-Y,/biz/fire-and-rice-san-jose-39?osq=Restaurants,4.1,95125,1,0.0876980823333333,33319,62.3,1243,2.3,344,0.6,8044,15,119,0.2,3985,60.1,3.9,128452,0
Fire and Rice,37.3824035,-121.8965117,"1078 E Brokaw Rd #40, San Jose, CA 95131, United States",ChIJfZ6H2sPNj4ARUQQIKp79F-Y,/biz/fire-and-rice-morgan-hill-36?osq=Restaurants,4.5,95125,1,0.0047173666666666,33319,62.3,1243,2.3,344,0.6,8044,15,119,0.2,3985,60.1,3.9,128452,0
Fire and Rice,37.3824035,-121.8965117,"1078 E Brokaw Rd #40, San Jose, CA 95131, United States",ChIJfZ6H2sPNj4ARUQQIKp79F-Y,/biz/fire-and-rice-san-jose-40?osq=Restaurants,4.5,95125,1,0.0298138046666667,33319,62.3,1243,2.3,344,0.6,8044,15,119,0.2,3985,60.1,3.9,128452,1
Mimosas of Willow Glen,37.3103137,-121.8962383,"860 Willow St #100, San Jose, CA 95125, United States",ChIJsUo8nTkzjoARvS-GOdkXYUk,/biz/mimosas-of-willow-glen-san-jose?osq=Restaurants,3.7,95125,1,0.0169756796666667,33319,62.3,1243,2.3,344,0.6,8044,15,119,0.2,3985,60.1,3.9,128452,1
Starbird Chicken,37.3822228,-121.8961247,"1088 E Brokaw Rd #10, San Jose, CA 95131, United States",ChIJJaAWyw7Mj4ARhtFvej4CVnU,/biz/starbird-chicken-campbell?osq=Restaurants,3.8,95008,1,0.025862434,27741,56.9,1205,2.5,197,0.4,12187,25,14,0,4550,62.8,3,128476,1
The Cider Junction,37.3105836,-121.8959367,"820 Willow St #100, San Jose, CA 95125, United States",ChIJ6yow0lAzjoARdsxDf3ld2eM,/biz/the-cider-junction-san-jose-5?osq=Restaurants,4.2,95125,1,0.138291253,33319,62.3,1243,2.3,344,0.6,8044,15,119,0.2,3985,60.1,3.9,128452,1
Casa Villa,37.3102397,-121.8956766,"840 Willow St #400, San Jose, CA 95125, United States",ChIJB3ZXgDwzjoARwFz5YRsh1Yg,/biz/casa-villa-san-jose?osq=Restaurants,4.1,95125,1,0.110421376,33319,62.3,1243,2.3,344,0.6,8044,15,119,0.2,3985,60.1,3.9,128452,1
Santo Market,37.3517263,-121.8952686,"245 E Taylor St, San Jose, CA 95112, United States",ChIJ655lG4TMj4ARwtSVnWBBAio,/biz/santo-market-san-jose-3?osq=Restaurants,4.5,95112,1,0.0476142363333333,19694,33.7,2903,5,550,0.9,14867,25.4,268,0.5,6146,51.6,6,83224,1
SJ Omogari,37.3484542,-121.8951489,"154 Jackson St, San Jose, CA 95112, United States",ChIJt6gamITMj4AREAusBi1sgjs,/biz/sj-omogari-san-jose-3?osq=Restaurants,3.9,95112,1,0.552821651333333,19694,33.7,2903,5,550,0.9,14867,25.4,268,0.5,6146,51.6,6,83224,0
Shabu Time,37.3487614,-121.8951019,"171 Jackson St, San Jose, CA 95112, United States",ChIJaTofisrNj4ARxvjSvHTZnJM,/biz/shabu-time-san-jose-3?osq=Restaurants,4.4,95112,1,0.079989284,19694,33.7,2903,5,550,0.9,14867,25.4,268,0.5,6146,51.6,6,83224,0
Jora Peruvian food,37.3365173,-121.8950295,"192 W St John St, San Jose, CA 95110, United States",ChIJGQRrwu7Nj4AR16bfqkwXG-0,/biz/jora-peruvian-food-san-jose?osq=Restaurants,4.3,95110,1,0.18192367,7204,35.4,645,3.2,273,1.3,3081,15.1,25,0.1,2680,55.6,3.7,119408,1
Urban Momo,37.3364251,-121.8949648,"100 N Almaden Ave #176, San Jose, CA 95110, United States",ChIJLf8WPqLMj4ARW4I4WIZPQto,/biz/urban-momo-san-jose?osq=Restaurants,4.5,95110,1,0.153385584,7204,35.4,645,3.2,273,1.3,3081,15.1,25,0.1,2680,55.6,3.7,119408,0
Gombei,37.348897,-121.8948279,"193 Jackson St, San Jose, CA 95112, United States",ChIJvVmAlITMj4ARo6qv73FvEUo,/biz/gombei-san-jose?osq=Restaurants,3.9,95112,1,0.201808198333333,19694,33.7,2903,5,550,0.9,14867,25.4,268,0.5,6146,51.6,6,83224,1
San Pedro Square Market,37.3365265,-121.8943707,"87 N San Pedro St, San Jose, CA 95110, United States",ChIJgxS1DqPMj4ARcXC8uguCrbU,/biz/san-pedro-square-market-san-jose?osq=Restaurants,4.1,95110,1,0.151613335666667,7204,35.4,645,3.2,273,1.3,3081,15.1,25,0.1,2680,55.6,3.7,119408,1
Hella Good Burger,37.3365265,-121.8943707,"87 N San Pedro St Suite 123, San Jose, CA 95110, United States",ChIJqwjXrZDNj4ARXXDFal0uOMI,/biz/hella-good-burger-san-jose?osq=Restaurants,3.7,95110,1,0.119915023,7204,35.4,645,3.2,273,1.3,3081,15.1,25,0.1,2680,55.6,3.7,119408,1
Opa!,37.3346877,-121.8941474,"225 W Santa Clara St, San Jose, CA 95113, United States",ChIJ8xoclw7Nj4ARj8ohRbd-AY8,/biz/opa-san-jose-5?osq=Restaurants,4.1,95125,1,0.0042287,33319,62.3,1243,2.3,344,0.6,8044,15,119,0.2,3985,60.1,3.9,128452,1
Anchors Fish & Chips and Seafood Grill,37.336561,-121.8941318,"87 N San Pedro St, San Jose, CA 95110, United States",ChIJC7wNQqLMj4AR0qu-hcrOZZE,/biz/anchors-fish-and-chips-and-seafood-grill-san-jose-2?osq=Restaurants,4.1,95125,1,0.149000133666667,33319,62.3,1243,2.3,344,0.6,8044,15,119,0.2,3985,60.1,3.9,128452,0
Kaita Restaurant,37.3493104,-121.8940744,"215 Jackson St, San Jose, CA 95112, United States",ChIJjZyitpDNj4ARL3bf8lUED0g,/biz/kaita-restaurant-san-jose?osq=Restaurants,3.8,95112,1,0.0909011423333333,19694,33.7,2903,5,550,0.9,14867,25.4,268,0.5,6146,51.6,6,83224,0
Shuei-Do Manju Shop,37.3492772,-121.8939983,"217 Jackson St, San Jose, CA 95112, United States",ChIJKWb85YTMj4ARFqphLcYtIeI,/biz/shuei-do-manju-shop-san-jose?osq=Restaurants,4.7,95112,1,0.0299500523333333,19694,33.7,2903,5,550,0.9,14867,25.4,268,0.5,6146,51.6,6,83224,0
Firehouse No.1 Gastropub,37.3362926,-121.8939311,"69 N San Pedro St, San Jose, CA 95110, United States",ChIJ60DuWqLMj4ARl8cIhHEqoz4,/biz/firehouse-no-1-gastropub-san-jose?osq=Restaurants,3.9,95110,1,0.296291985,7204,35.4,645,3.2,273,1.3,3081,15.1,25,0.1,2680,55.6,3.7,119408,0
District San Jose,37.3362267,-121.8938818,"65 N San Pedro St, San Jose, CA 95110, United States",ChIJfS-oT6LMj4ARqmWyZ3jrg9k,/biz/district-san-jose-san-jose?osq=Restaurants,3.7,95110,1,0.228849155,7204,35.4,645,3.2,273,1.3,3081,15.1,25,0.1,2680,55.6,3.7,119408,0
Aloha Fresh,37.3494387,-121.8938432,"225 Jackson St, San Jose, CA 95112, United States",ChIJTTwsYnvNj4ARVwisuRzwAqc,/biz/aloha-fresh-san-jose-2?osq=Restaurants,4.7,95112,1,0.00422543,19694,33.7,2903,5,550,0.9,14867,25.4,268,0.5,6146,51.6,6,83224,0
Minato Japanese Restaurant,37.3497867,-121.8937105,"617 N 6th St, San Jose, CA 95112, United States",ChIJv6Lt-4TMj4ARLZgLz0LCB2g,/biz/minato-japanese-restaurant-san-jose-2?osq=Restaurants,3.9,95112,1,0.141622987,19694,33.7,2903,5,550,0.9,14867,25.4,268,0.5,6146,51.6,6,83224,0
Minos Eatery,37.3497867,-121.8937105,"617 N 6th St, San Jose, CA 95112, United States",ChIJv6Lt-4TMj4ARLZgLz0LCB2g,/biz/minos-eatery-san-jose-2?osq=Restaurants,4.7,95113,1,0.0129836316666667,820,37,150,6.8,0,0,884,39.9,5,0.2,746,85.6,4.1,124625,0
Izakaya Restaurant,37.3358795,-121.893622,"28 N Almaden Ave Suite 70, San Jose, CA 95110, United States",ChIJATMImMHNj4ARVXuyES--I9k,/biz/izakaya-restaurant-san-jose?osq=Restaurants,4.4,95112,1,0.150130596333333,19694,33.7,2903,5,550,0.9,14867,25.4,268,0.5,6146,51.6,6,83224,0
Gyu-Kaku Japanese BBQ,37.3358795,-121.893622,"28 N Almaden Ave Suite 70, San Jose, CA 95110, United States",ChIJATMImMHNj4ARVXuyES--I9k,/biz/gyu-kaku-japanese-bbq-san-jose-2?osq=Restaurants,3.2,95110,1,0.008487549,7204,35.4,645,3.2,273,1.3,3081,15.1,25,0.1,2680,55.6,3.7,119408,0
Slice of Homage Pizza,37.3350957,-121.8935019,"163 W Santa Clara St, San Jose, CA 95113, United States",ChIJrcOWfkvNj4ARSSwouGd8Fho,/biz/slice-of-homage-pizza-san-jose?osq=Restaurants,4.3,95113,1,0.110781313333333,820,37,150,6.8,0,0,884,39.9,5,0.2,746,85.6,4.1,124625,0
Olla Cocina,37.3354307,-121.8933631,"17 N San Pedro St, San Jose, CA 95110, United States",ChIJySbjB6PMj4AR2P_zrg1ObjI,/biz/olla-cocina-san-jose-2?osq=Restaurants,3.8,95110,1,0.138763461333333,7204,35.4,645,3.2,273,1.3,3081,15.1,25,0.1,2680,55.6,3.7,119408,0
Krispy Krunchy Chicken,37.383484,-121.8931942,"1706 Old Oakland Rd Suite 20, San Jose, CA 95131, United States",ChIJu20_MnbNj4ARuztI2NSGFVA,/biz/krispy-krunchy-chicken-campbell?osq=Restaurants,3.8,95008,1,0.102770351333333,27741,56.9,1205,2.5,197,0.4,12187,25,14,0,4550,62.8,3,128476,0
The Farmers Union,37.3351487,-121.8931621,"151 W Santa Clara St, San Jose, CA 95113, United States",ChIJYwCXCaPMj4ARBEPm6Z8ZvJc,/biz/the-farmers-union-san-jose?osq=Restaurants,4.2,95113,1,0.117334028666667,820,37,150,6.8,0,0,884,39.9,5,0.2,746,85.6,4.1,124625,0
California Fish Grill,37.3835746,-121.8929488,"1706 Old Oakland Rd, San Jose, CA 95131, United States",ChIJ3ZpjBDTNj4ARZGWV-GLyqes,/biz/california-fish-grill-san-jose-3?osq=Restaurants,4,95118,0,0.111650245666667,18184,55.6,476,1.5,132,0.4,7376,22.6,190,0.6,1881,53.8,5,130745,0
Nick The Greek,37.3353355,-121.8927704,"143 W Santa Clara St, San Jose, CA 95113, United States",ChIJj0l6D6PMj4ARpjrmgzWh-Xg,/biz/nick-the-greek-san-jose?osq=Restaurants,3.9,95113,1,0.135381909666667,820,37,150,6.8,0,0,884,39.9,5,0.2,746,85.6,4.1,124625,0
Bun Me Up,37.3358295,-121.8927479,"23 N Market St, San Jose, CA 95113, United States",ChIJU8C70S3Lj4ARRgxm5qXBQv8,/biz/bun-me-up-san-jose?osq=Restaurants,4.6,95113,1,0.144221242666667,820,37,150,6.8,0,0,884,39.9,5,0.2,746,85.6,4.1,124625,0
La Victoria Taqueria,37.3353729,-121.8926458,"131 W Santa Clara St, San Jose, CA 95113, United States",ChIJayPhD6PMj4ARRAc53FTXNn0,/biz/la-victoria-taqueria-san-jose-2?osq=Restaurants,3.4,95112,1,0.123740082333333,19694,33.7,2903,5,550,0.9,14867,25.4,268,0.5,6146,51.6,6,83224,0
Gabriel's Tacos,37.3353729,-121.8926458,"131 W Santa Clara St, San Jose, CA 95113, United States",ChIJayPhD6PMj4ARRAc53FTXNn0,/biz/gabriels-tacos-san-jose?osq=Restaurants,5,95116,1,0.093522208,11063,21.2,1278,2.4,1368,2.6,14722,28.2,353,0.7,2222,27,5,76339,0
Taurinus Brazilian Steakhouse,37.333145,-121.892216,"167 W San Fernando St, San Jose, CA 95113, United States",ChIJQ7-pkKTMj4AROiaA6W6MTPs,/biz/taurinus-brazilian-steakhouse-san-jose-2?osq=Restaurants,4.1,95113,1,0.05145005,820,37,150,6.8,0,0,884,39.9,5,0.2,746,85.6,4.1,124625,0
Toast Cafe & Grill,37.3067232,-121.8917913,"1411 Bird Ave., San Jose, CA 95125, United States",ChIJneY-SPszjoARm3rwZkv_gJ0,/biz/toast-cafe-and-grill-san-jose-2?osq=Restaurants,3.9,95125,1,0.105352747666667,33319,62.3,1243,2.3,344,0.6,8044,15,119,0.2,3985,60.1,3.9,128452,0
Grace Deli & Cafe,37.3288192,-121.8916366,"303 S Almaden Blvd, San Jose, CA 95110, United States",ChIJpTa286_Mj4ARM758c8eJmNU,/biz/grace-deli-and-cafe-san-jose?osq=Restaurants,3.8,95110,1,0.0653442593333333,7204,35.4,645,3.2,273,1.3,3081,15.1,25,0.1,2680,55.6,3.7,119408,0
Great Wall Chinese Restaurant,37.3062077,-121.8912832,"1455 Bird Ave., San Jose, CA 95125, United States",ChIJPV31SFszjoARv59wGs6BWMA,/biz/great-wall-chinese-restaurant-san-jose?osq=Restaurants,4,95125,1,0.0474127813333333,33319,62.3,1243,2.3,344,0.6,8044,15,119,0.2,3985,60.1,3.9,128452,0
Chez Sovan,37.3599515,-121.8912605,"923 Old Oakland Rd, San Jose, CA 95112, United States",ChIJR6AwJX3Mj4AR-t3htfidQMk,/biz/chez-sovan-san-jose?osq=Restaurants,4.5,95112,1,0.133380999333333,19694,33.7,2903,5,550,0.9,14867,25.4,268,0.5,6146,51.6,6,83224,0
Saby Thai Restaurant,37.3356527,-121.8912028,"62 W Santa Clara St, San Jose, CA 95113, United States",ChIJycZtP8jMj4ARllWLN5GHCf8,/biz/saby-thai-restaurant-san-jose?osq=Restaurants,3.8,95113,1,0.0263498516666667,820,37,150,6.8,0,0,884,39.9,5,0.2,746,85.6,4.1,124625,1
Labyrinth Bar & Kitchen,37.335075,-121.8907773,"45 Post St, San Jose, CA 95113, United States",ChIJuVqqTqPMj4ARoct1xAwCUEA,/biz/labyrinth-bar-and-kitchen-san-jose?osq=Restaurants,4.2,95113,1,0.045568329,820,37,150,6.8,0,0,884,39.9,5,0.2,746,85.6,4.1,124625,0
Affinity Restaurant & Bar,37.329284,-121.8906639,"300 S Almaden Blvd, San Jose, CA 95113, United States",ChIJ_YAAgzoAMhURH7lGXUn1mMw,/biz/affinity-restaurant-and-bar-san-jose?osq=Restaurants,3.1,95110,1,0.0993192056666667,7204,35.4,645,3.2,273,1.3,3081,15.1,25,0.1,2680,55.6,3.7,119408,0
Mesquite & Oak,37.3585258,-121.8901246,"856 N 13th St, San Jose, CA 95112, United States",ChIJVVU5qmLMj4ARAQWOGzUf3-A,/biz/mesquite-and-oak-san-jose?osq=Restaurants,4.5,95112,1,0.043976288,19694,33.7,2903,5,550,0.9,14867,25.4,268,0.5,6146,51.6,6,83224,0
Trini Doublez,37.3585258,-121.8901246,"856 N 13th St, San Jose, CA 95112, United States",ChIJ220eye7Lj4ARRVsV2AuBqPo,/biz/trini-doublez-san-jose?osq=Restaurants,4.5,95128,1,0.117918835,19004,53.7,1612,4.6,231,0.7,6620,18.7,315,0.9,3933,55.9,3.6,105563,0
Spicy Roy's Caribbean Grill,37.3585258,-121.8901246,"856 N 13th St, San Jose, CA 95112, United States",ChIJ220eye7Lj4ARRVsV2AuBqPo,/biz/spicy-roys-caribbean-grill-san-jose?osq=Restaurants,3.8,95110,1,0.0260864436666667,7204,35.4,645,3.2,273,1.3,3081,15.1,25,0.1,2680,55.6,3.7,119408,1
55 South,37.3351002,-121.8899603,"55 S 1st St, San Jose, CA 95113, United States",ChIJ-zOhsbzMj4AR-bC3P-1vrrs,/biz/55-south-san-jose?osq=Restaurants,4,95113,1,0.169612115,820,37,150,6.8,0,0,884,39.9,5,0.2,746,85.6,4.1,124625,0
Skewers & Brew,37.3350112,-121.8898964,"65 S 1st St, San Jose, CA 95113, United States",ChIJ0ZM6rrzMj4ARz3GAPALpRSo,/biz/skewers-and-brew-san-jose?osq=Restaurants,4.3,95113,1,0.141531744333333,820,37,150,6.8,0,0,884,39.9,5,0.2,746,85.6,4.1,124625,0
Pastelaria Adega,37.336259,-121.8898133,"30 E Santa Clara St #130, San Jose, CA 95113, United States",ChIJI5uoqD3Nj4ARDFsF8WIB26E,/biz/pastelaria-adega-san-jose-2?osq=Restaurants,4.1,95113,1,0.0713563173333333,820,37,150,6.8,0,0,884,39.9,5,0.2,746,85.6,4.1,124625,0
The City Fish,37.3363888,-121.8897848,"30 E Santa Clara St #140, San Jose, CA 95113, United States",ChIJ-8-00bzMj4AR0wpN69zoCSU,/biz/the-city-fish-san-jose?osq=Restaurants,4.3,95113,1,0.164253371,820,37,150,6.8,0,0,884,39.9,5,0.2,746,85.6,4.1,124625,0
Nomikai,37.33539,-121.8896654,"48 S 1st St, San Jose, CA 95113, United States",ChIJA3c7sbzMj4ARJsHVgahPs9I,/biz/nomikai-san-jose-2?osq=Restaurants,3.9,95113,1,0.154069286,820,37,150,6.8,0,0,884,39.9,5,0.2,746,85.6,4.1,124625,1
Bayyyareatacos,37.3354262209474,-121.889634729301,"52 S 1st  San Jose, CA 95113  Downtown",-,/biz/bayyyareatacos-san-jose?osq=Restaurants,5,95113,1,0.0620737846666667,820,37,150,6.8,0,0,884,39.9,5,0.2,746,85.6,4.1,124625,0
Paper Plane,37.3349894,-121.8895064,"72 S 1st St, San Jose, CA 95113, United States",ChIJ2XdOpLzMj4ARkdRQg4ZRVTY,/biz/paper-plane-san-jose-2?osq=Restaurants,4.5,95113,1,0.186816081333333,820,37,150,6.8,0,0,884,39.9,5,0.2,746,85.6,4.1,124625,0
Egghead Sando Cafe,37.3347805,-121.8892261,"80 S 1st St, San Jose, CA 95113, United States",ChIJ0ZdrwNS1j4ARzBiJtBcsnuc,/biz/egghead-sando-cafe-san-jose-3?osq=Restaurants,4.3,95113,1,0.196604022333333,820,37,150,6.8,0,0,884,39.9,5,0.2,746,85.6,4.1,124625,0
Egghead Sando Cafe,37.3347805,-121.8892261,"80 S 1st St, San Jose, CA 95113, United States",ChIJ0ZdrwNS1j4ARzBiJtBcsnuc,/biz/egghead-sando-cafe-san-jose-2?osq=Restaurants,4.3,95136,1,0.168419794333333,20480,41.9,2475,5.1,313,0.6,15764,32.3,293,0.6,4018,53.3,3.4,131879,0
HoM Korean Kitchen,37.3367535,-121.8888688,"76 E Santa Clara St, San Jose, CA 95113, United States",ChIJw32C57zMj4AR7akLBohZt7A,/biz/hom-korean-kitchen-san-jose-2?osq=Restaurants,4.2,95113,1,0.160446774,820,37,150,6.8,0,0,884,39.9,5,0.2,746,85.6,4.1,124625,1
ABVE The Basics,37.3346731,-121.8887824,"1 E San Fernando St, San Jose, CA 95113, United States",ChIJaRodBR01joARseqrKoAIhUE,/biz/abve-the-basics-san-jose-3?osq=Restaurants,3.9,95113,1,0.215368929,820,37,150,6.8,0,0,884,39.9,5,0.2,746,85.6,4.1,124625,0
Mommy's Banh Mi,37.3346731,-121.8887824,"1 E San Fernando St, San Jose, CA 95113, United States",ChIJgw035T0tjoARrD9KwgejhqM,/biz/mommys-banh-mi-san-jose?osq=Restaurants,4.2,95113,1,0.0912475023333333,820,37,150,6.8,0,0,884,39.9,5,0.2,746,85.6,4.1,124625,0
AJI Bar & Robata,37.3331008,-121.888728,"170 S Market St, San Jose, CA 95113, United States",ChIJ8U8CVevNj4ARKk-4uprIJNg,/biz/aji-bar-and-robata-san-jose?osq=Restaurants,4.3,95113,1,0.187391091666667,820,37,150,6.8,0,0,884,39.9,5,0.2,746,85.6,4.1,124625,1
3rd & Bourbon,37.3372583,-121.8886887,"93 E Santa Clara St, San Jose, CA 95113, United States",ChIJs6IsHr3Mj4ARBZaAcyreKMk,/biz/3rd-and-bourbon-san-jose-2?osq=Restaurants,4.5,95113,1,0.219864888,820,37,150,6.8,0,0,884,39.9,5,0.2,746,85.6,4.1,124625,0
Il Fornaio,37.3308173,-121.8879329,"302 S Market St, San Jose, CA 95113, United States",ChIJ06drj7rMj4AR4Y_OEpeT5LA,/biz/il-fornaio-san-jose-3?osq=Restaurants,4,95113,1,0.0641920053333333,820,37,150,6.8,0,0,884,39.9,5,0.2,746,85.6,4.1,124625,0
Il Fornaio,37.3308173,-121.8879329,"302 S Market St, San Jose, CA 95113, United States",ChIJ06drj7rMj4AR4Y_OEpeT5LA,/biz/il-fornaio-santa-clara-2?osq=Restaurants,4.2,95054,0,0.149800428,5642,23.1,1274,5.2,27,0.1,13968,57.2,17,0.1,4879,77.2,5.5,171799,1
Shin's Tofu,37.3872461,-121.8877208,"1701 Lundy Ave #160, San Jose, CA 95131, United States",ChIJqZ25lfvNj4ARd8gTGoc4veA,/biz/shin-s-tofu-san-jose?osq=Restaurants,3.7,95131,0,0.157398985333333,4380,13.9,792,2.5,111,0.4,22707,71.9,143,0.5,4524,76.4,5.8,151389,0
Élyse Restaurant,37.3336388,-121.8874272,"151 S Second St, San Jose, CA 95113, United States",ChIJR8A7a7vMj4ARrU60bn83oWA,/biz/%C3%A9lyse-restaurant-san-jose-2?osq=Restaurants,4.4,95113,1,0.274028841666667,820,37,150,6.8,0,0,884,39.9,5,0.2,746,85.6,4.1,124625,1
Serious Dumpling,37.3869719,-121.8873518,"1701 Lundy Ave #100, San Jose, CA 95131, United States",ChIJs7Oyr8PNj4ARcZgT0ytZNt8,/biz/serious-dumpling-san-jose-2?osq=Restaurants,3.9,95110,1,0.310579871666667,7204,35.4,645,3.2,273,1.3,3081,15.1,25,0.1,2680,55.6,3.7,119408,0
Dough Zone - San Jose,37.3869719,-121.8873518,"1701 Lundy Ave #100, San Jose, CA 95131, United States",ChIJs7Oyr8PNj4ARcZgT0ytZNt8,/biz/dough-zone-san-jose-san-jose-2?osq=Restaurants,4,95131,0,0.141682732666667,4380,13.9,792,2.5,111,0.4,22707,71.9,143,0.5,4524,76.4,5.8,151389,1
Doner Silicon Valley,37.3372376,-121.8872292,"17 S 4th St, San Jose, CA 95112, United States",ChIJ4RXB-UbNj4ARQ4s4rBcYmKo,/biz/doner-silicon-valley-san-jose?osq=Restaurants,4.1,95112,1,0.133727574666667,19694,33.7,2903,5,550,0.9,14867,25.4,268,0.5,6146,51.6,6,83224,0
Souvlaki's Greek Skewers,37.3093942,-121.8871686,"577 W Alma Ave, San Jose, CA 95125, United States",ChIJO_BWqUUzjoARcVxlUnDl8M4,/biz/souvlakis-greek-skewers-san-jose?osq=Restaurants,4.4,95125,1,0.162406029333333,33319,62.3,1243,2.3,344,0.6,8044,15,119,0.2,3985,60.1,3.9,128452,0
Original Joe's - San Jose,37.3313416,-121.8871374,"301 S 1st St, San Jose, CA 95113, United States",ChIJKww9ZLrMj4ARb-KGDMCdo_I,/biz/original-joes-san-jose-san-jose-4?osq=Restaurants,3.2,95113,1,0.144233372333333,820,37,150,6.8,0,0,884,39.9,5,0.2,746,85.6,4.1,124625,1
Casa Guzmania,37.3301937,-121.8870869,"350 S Market St, San Jose, CA 95113, United States",ChIJWX-TDmDNj4ARCfHYKFq-_xY,/biz/casa-guzmania-san-jose-2?osq=Restaurants,3.9,95113,1,0.0340981286666667,820,37,150,6.8,0,0,884,39.9,5,0.2,746,85.6,4.1,124625,1
Hawaiian Poke Bowl,37.3301876,-121.8865899,"387 S 1st St Suite #113, San Jose, CA 95113, United States",ChIJT7tPmrDMj4ARWsqY08iFIYQ,/biz/hawaiian-poke-bowl-san-jose?osq=Restaurants,4,95113,1,0.140923684333333,820,37,150,6.8,0,0,884,39.9,5,0.2,746,85.6,4.1,124625,1
Back A Yard,37.3539192,-121.8865675,"638 N 13th St, San Jose, CA 95112, United States",ChIJXZR_jerNj4ARCA8EUJXJojo,/biz/back-a-yard-san-jose-3?osq=Restaurants,3.2,95121,0,0.147840219666667,7228,19.2,1382,3.7,470,1.2,22494,59.7,157,0.4,2390,50.3,6.2,117991,0
Habana Cuba Restaurant,37.3301308,-121.8865285,"387 S 1st St Suite 109, San Jose, CA 95113, United States",ChIJuYJQ4VrLj4AR2SC_HS-iUF8,/biz/habana-cuba-restaurant-san-jose?osq=Restaurants,3.9,95113,1,0.123450426666667,820,37,150,6.8,0,0,884,39.9,5,0.2,746,85.6,4.1,124625,0
SoFA Market,37.3303358,-121.8864002,"387 S 1st St, San Jose, CA 95113, United States",ChIJTeOombDMj4ARfWil3-3xh_Q,/biz/sofa-market-san-jose?osq=Restaurants,4.2,95113,1,0.122811468,820,37,150,6.8,0,0,884,39.9,5,0.2,746,85.6,4.1,124625,0
Hapa Musubi,37.4105891,-121.8863946,"1658 S Milpitas Blvd, Milpitas, CA 95035, United States",ChIJ78kSAbvMj4ARyK9x8jmg23A,/biz/hapa-musubi-milpitas-4?osq=Restaurants,4.5,95035,0,0.0260146046666667,11436,14.3,2565,3.2,486,0.6,53762,67.4,136,0.2,10755,68.2,4.4,149223,1
Vietnoms,37.3303006,-121.886382,"387 S 1st St Ste 121, San Jose, CA 95113, United States",ChIJK6gsmrDMj4ARhqe1PcyC7jE,/biz/vietnoms-san-jose?osq=Restaurants,4.2,95113,1,0.137331463333333,820,37,150,6.8,0,0,884,39.9,5,0.2,746,85.6,4.1,124625,0
Umi Hand Roll Bar,37.3301959,-121.8863016,"387 S 1st St, San Jose, CA 95113, United States",ChIJGYhOsYDNj4ARrjZ9tBz_PcQ,/biz/umi-hand-roll-bar-san-jose-2?osq=Restaurants,4.2,95113,1,0.119432980666667,820,37,150,6.8,0,0,884,39.9,5,0.2,746,85.6,4.1,124625,1
Petiscos,37.3300768,-121.8862249,"399 S 1st St, San Jose, CA 95113, United States",ChIJY7fPGXjNj4ARq0505g0V3Ko,/biz/petiscos-san-jose?osq=Restaurants,3.9,95113,1,0.253840203666667,820,37,150,6.8,0,0,884,39.9,5,0.2,746,85.6,4.1,124625,0
