Restaurant,Latitude,Longitude,Address,Place-ID,URL,Stars,ZIP,Attractions,Avg. Exposure,White,ofWhite,Black,ofBlack,AmericanIndaian,ofAI,Asian,ofAisan,NativeHawiian,ofNativeHawiian,Edu,ofEDU,Unemployment,Wealth,Hotspot
Sam and Curry,37.3708221,-121.9169174,"1751 N First St #40, San Jose, CA 95112, United States",ChIJ-zMoQfvLj4ARXEN34zzw1So,/biz/sam-and-curry-san-jose?osq=Restaurants,4.7,95112,1,0.139873627666667,19694,33.7,2903,5,550,0.9,14867,25.4,268,0.5,6146,51.6,6,83224,0
Shihlin Taiwan Street Snacks,37.4208539,-121.9164272,"522 Barber Ln, Milpitas, CA 95035, United States",ChIJy23zUSTJj4ARckAZUgrg1Ww,/biz/shihlin-taiwan-street-snacks-san-jose-3?osq=Restaurants,4.6,95133,1,0.168377217,3951,13.7,864,3,275,1,17185,59.5,221,0.8,3296,65.9,8.5,110484,1
Vito's Trattoria,37.3653324,-121.9160655,"90 Skyport Dr Ste 170, San Jose, CA 95110, United States",ChIJm0cCO5LLj4AR5Ar3aP9nUYA,/biz/vitos-trattoria-san-jose?osq=Restaurants,4.3,95110,1,0.112733238,7204,35.4,645,3.2,273,1.3,3081,15.1,25,0.1,2680,55.6,3.7,119408,1
LUNA Mexican Kitchen - The Alameda,37.3339808,-121.9152907,"1495 The Alameda, San Jose, CA 95126, United States",ChIJOTYhWGjLj4ARW1gKITcp2f8,/biz/luna-mexican-kitchen-the-alameda-san-jose?osq=Restaurants,4.2,95126,1,0.247348078666667,17713,48.6,1886,5.2,336,0.9,6090,16.7,30,0.1,5602,65.4,4.4,116063,1
Lele Cake,37.2360171,-121.9145905,"14178 Blossom Hill Rd, Los Gatos, CA 95032, United States",ChIJKYQVd8YxjoARYYNi6HLuFtI,/biz/lele-cake-los-gatos?osq=Restaurants,4.5,95032,0,0.069912284,19526,71.9,257,0.9,14,0.1,5004,18.4,0,0,1645,73.5,4.7,163082,1
Tee Nee Thai Cuisine,37.3331852,-121.9142619,"1423 The Alameda, San Jose, CA 95126, United States",ChIJ9a2IaWjLj4ARZiDlt4QOszE,/biz/tee-nee-thai-cuisine-san-jose?osq=Restaurants,3.8,95126,1,0.0170646923333333,17713,48.6,1886,5.2,336,0.9,6090,16.7,30,0.1,5602,65.4,4.4,116063,0
The Breakfast Club,37.323295,-121.914231,"1432 W San Carlos St #80, San Jose, CA 95126, United States",ChIJS128bEXLj4ARjFvsKzXDBS8,/biz/the-breakfast-club-san-jose?osq=Restaurants,3.9,95126,1,0.210946878,17713,48.6,1886,5.2,336,0.9,6090,16.7,30,0.1,5602,65.4,4.4,116063,0
Zona Rosa,37.3330727,-121.9141275,"1411 The Alameda, San Jose, CA 95126, United States",ChIJq8a8EmjLj4AR6i9BcvnWi38,/biz/zona-rosa-san-jose?osq=Restaurants,3.8,95126,1,0.209511175,17713,48.6,1886,5.2,336,0.9,6090,16.7,30,0.1,5602,65.4,4.4,116063,1
Uncle John's Pancake House - The Alameda,37.3316014,-121.9125716,"1205 The Alameda, San Jose, CA 95126, United States",ChIJXxNJFpLLj4ARjG8jb9rnQi8,/biz/uncle-johns-pancake-house-the-alameda-san-jose?osq=Restaurants,3.9,95126,1,0.0729868746666667,17713,48.6,1886,5.2,336,0.9,6090,16.7,30,0.1,5602,65.4,4.4,116063,0
Pierogi Peddler,37.34951,-121.912172,"949 Ruff Dr, San Jose, CA 95110, United States",ChIJqYuQMwrNj4ARJk_G1z3D-No,/biz/pierogi-peddler-san-jose?osq=Restaurants,5,95112,1,0.008932571,19694,33.7,2903,5,550,0.9,14867,25.4,268,0.5,6146,51.6,6,83224,0
Idly Express - San Jose,37.34951,-121.912172,"949 Ruff Dr, San Jose, CA 95110, United States",ChIJtyn6UrbLj4AR5291zAv_fHQ,/biz/idly-express-san-jose-san-jose?osq=Restaurants,5,95110,1,0.133844241333333,7204,35.4,645,3.2,273,1.3,3081,15.1,25,0.1,2680,55.6,3.7,119408,0
Milk Belly Bakery,37.34951,-121.912172,"949 Ruff Dr, San Jose, CA 95110, United States",ChIJ4QpBdh_Lj4ARXxkenvjFy20,/biz/milk-belly-bakery-san-jose?osq=Restaurants,5,95110,1,0.0129775736666667,7204,35.4,645,3.2,273,1.3,3081,15.1,25,0.1,2680,55.6,3.7,119408,0
Once Upon a Dosa,37.3495476,-121.9121185,"949 Ruff Dr, San Jose, CA 95110, United States",ChIJ3eerzJDLj4ARo-E9hhPzdJM,/biz/once-upon-a-dosa-san-jose?osq=Restaurants,4.2,95110,1,0.0517903436666667,7204,35.4,645,3.2,273,1.3,3081,15.1,25,0.1,2680,55.6,3.7,119408,0
Pho Luc Lac,37.2518791,-121.9090554,"1705 Branham Ln b3, San Jose, CA 95118, United States",ChIJfUtfK8c1joARyDVgxG42zW4,/biz/pho-luc-lac-san-jose?osq=Restaurants,4.7,95118,0,0.0876358086666667,18184,55.6,476,1.5,132,0.4,7376,22.6,190,0.6,1881,53.8,5,130745,0
Chick N' Bros,37.3203913,-121.9079305,"460 Lincoln Ave, San Jose, CA 95126, United States",ChIJASF9hKLLj4ARdYuPgt2jXCo,/biz/chick-n-bros-san-jose-13?osq=Restaurants,4,95117,0,0.05083309,12897,44.7,2314,8,26,0.1,7702,26.7,59,0.2,3153,53.1,6.5,107972,0
Chick N' Bros,37.3203913,-121.9079305,"460 Lincoln Ave, San Jose, CA 95126, United States",ChIJASF9hKLLj4ARdYuPgt2jXCo,/biz/chick-n-bros-san-jose-14?osq=Restaurants,3.9,95117,0,0.0601521433333333,12897,44.7,2314,8,26,0.1,7702,26.7,59,0.2,3153,53.1,6.5,107972,0
K%C3%BCsan Uyghur Cuisine,37.3656611,-121.9079129,"1516 N 4th St, San Jose, CA 95112, United States",ChIJcyE5hWHLj4ARsmYbYJ_RpRI,/biz/k%C3%BCsan-uyghur-cuisine-san-jose?osq=Restaurants,3.9,95112,1,0.133271318333333,19694,33.7,2903,5,550,0.9,14867,25.4,268,0.5,6146,51.6,6,83224,1
Chikin Drip,37.3686068,-121.9078235,"1721 Old Bayshore Hwy, San Jose, CA 95112, United States",ChIJ1wHcROHNj4ARmNwmP2PcUWw,/biz/chikin-drip-san-jose?osq=Restaurants,4.3,95112,1,0.171878072333333,19694,33.7,2903,5,550,0.9,14867,25.4,268,0.5,6146,51.6,6,83224,0
Super Smash Burgers,37.3396755,-121.9070585,"579 Coleman Ave Suite 50, San Jose, CA 95110, United States",ChIJiS7s5nzLj4AR1rRQA1EUnMk,/biz/super-smash-burgers-san-jose-3?osq=Restaurants,4.5,95112,1,0.0084379663333333,19694,33.7,2903,5,550,0.9,14867,25.4,268,0.5,6146,51.6,6,83224,1
Goku Korean BBQ and Hot Pot,37.269257,-121.9066381,"3085 Meridian Ave, San Jose, CA 95124, United States",ChIJu7Lbgnk0joAR1_QHegvAJv4,/biz/goku-korean-bbq-and-hot-pot-san-jose-3?osq=Restaurants,3.7,95124,0,0.0853633263333333,30714,58.6,1052,2,165,0.3,13896,26.5,110,0.2,2992,61.4,4.1,165344,1
