Restaurant,Latitude,Longitude,Address_x,PlaceID,URL,ZIP,AverageExposure,Stars,Count,White_x,ofWhite,WN,Black,ofBlack,BN,AmericanIndaian,ofAI,AIN,Asian,ofAisan,AN,NativeHawiian,ofNativeHawiian,NHN,Edu,ofEDU,HED,Unemployment,HUne,Wealth,HWe,OBJECTID,Attraction,Hotspot
Reparo Taquito,27.7173638,-97.3625009,"831 Airline Rd, Corpus Christi, TX 78412, United States",ChIJQdaW-O_1aIYRB8xBnllRkfU,/biz/reparo-taquito-corpus-christi-2?osq=Restaurants,78412,0.009289196,4.2,75,29948,72.9,1,1525,3.7,0,131,0.3,0,1687,4.1,1,41,0.1,1,2088,29.2,1,8.8,1,51280,0,120,1,0
Panjo's Pizza,27.7069203,-97.3622746,"1320 Airline Rd, Corpus Christi, TX 78412, United States",ChIJ05vcdOj1aIYRQ-3GTwz_Pms,/biz/panjos-pizza-corpus-christi?osq=Restaurants,78412,0.072213407,4.5,75,29948,72.9,1,1525,3.7,0,131,0.3,0,1687,4.1,1,41,0.1,1,2088,29.2,1,8.8,1,51280,0,120,1,0
8TE,27.7101018,-97.3620452,"1220 Airline Rd #250, Corpus Christi, TX 78412, United States",ChIJyWpILOb1aIYRiagl0lbsdPw,/biz/8te-corpus-christi?osq=Restaurants,78412,0.71944707,4.3,75,29948,72.9,1,1525,3.7,0,131,0.3,0,1687,4.1,1,41,0.1,1,2088,29.2,1,8.8,1,51280,0,120,1,1
Bamboo Garden Restaurant,27.7086218,-97.3615943,"1220 Airline Rd #115, Corpus Christi, TX 78412, United States",ChIJVQTh0ef1aIYRTcWk6plnqhU,/biz/bamboo-garden-restaurant-corpus-christi?osq=Restaurants,78412,0.098703799,2.8,75,29948,72.9,1,1525,3.7,0,131,0.3,0,1687,4.1,1,41,0.1,1,2088,29.2,1,8.8,1,51280,0,120,1,1
Origami Japanese Cuisine & Sushi Bar,27.7089119,-97.361584,"Promenade Shopping Center, 1220 Airline Rd # 150, Corpus Christi, TX 78412, United States",ChIJu2cxJeb1aIYR-Hw9R2MJR8U,/biz/origami-japanese-cuisine-and-sushi-bar-corpus-christi?osq=Restaurants,78412,0.047276095,4,75,29948,72.9,1,1525,3.7,0,131,0.3,0,1687,4.1,1,41,0.1,1,2088,29.2,1,8.8,1,51280,0,120,1,1
Z Counter,27.7089994,-97.3615803,"1220 Airline Rd #155, Corpus Christi, TX 78412, United States",ChIJu2cxJeb1aIYRpCQsra5dbOE,/biz/z-counter-corpus-christi-2?osq=Restaurants,78412,0.233138493,4.3,75,29948,72.9,1,1525,3.7,0,131,0.3,0,1687,4.1,1,41,0.1,1,2088,29.2,1,8.8,1,51280,0,120,1,1
"Rudy's ""Country Store%E2%80%9D and Bar-B-Q",27.7023734,-97.3614004,"6101 S Padre Island Dr, Corpus Christi, TX 78412, United States",ChIJFRHX4Nz1aIYRsx5j43JGn5o,/biz/rudys-country-store-and-bar-b-q-corpus-christi-2?osq=Restaurants,78412,0.11649838,4.3,75,29948,72.9,1,1525,3.7,0,131,0.3,0,1687,4.1,1,41,0.1,1,2088,29.2,1,8.8,1,51280,0,120,1,0
BO BBQ- Korean Grill & Bar,27.7042278,-97.3612371,"6042 S Padre Island Dr, Corpus Christi, TX 78412, United States",ChIJTxEWl-71aIYRCBIq9IrsNK0,/biz/bo-bbq-korean-grill-and-bar-corpus-christi?osq=Restaurants,78412,0.323990458,3.9,75,29948,72.9,1,1525,3.7,0,131,0.3,0,1687,4.1,1,41,0.1,1,2088,29.2,1,8.8,1,51280,0,120,1,0
Salty Oak Brew and `Cue,27.7231179,-97.3607067,"4855 S Alameda St, Corpus Christi, TX 78412, United States",ChIJ92mpvXP1aIYRsWrUkRc13oo,/biz/salty-oak-brew-and-cue-corpus-christi?osq=Restaurants,78412,0.169615216,3.9,75,29948,72.9,1,1525,3.7,0,131,0.3,0,1687,4.1,1,41,0.1,1,2088,29.2,1,8.8,1,51280,0,120,1,0
New Hong Kong Express,27.7022112,-97.3602579,"6201 S Padre Island Dr #102, Corpus Christi, TX 78412, United States",ChIJOc981Mv1aIYRjCxSqWGoLQE,/biz/new-hong-kong-express-corpus-christi-2?osq=Restaurants,78412,0.072235062,3.6,75,29948,72.9,1,1525,3.7,0,131,0.3,0,1687,4.1,1,41,0.1,1,2088,29.2,1,8.8,1,51280,0,120,1,0
Burger beach hideaway,27.7054544,-97.357734,"6109 McArdle Rd, Corpus Christi, TX 78412, United States",ChIJcSneehP1aIYRV-yadMDZhLQ,/biz/burger-beach-hideaway-corpus-christi?osq=Restaurants,78412,0.168259877,4.5,75,29948,72.9,1,1525,3.7,0,131,0.3,0,1687,4.1,1,41,0.1,1,2088,29.2,1,8.8,1,51280,0,120,1,0
B & J's Pizza,27.7002322,-97.3568464,"6335 S Padre Island Dr, Corpus Christi, TX 78412, United States",ChIJ4Q_SStn1aIYRU50_eiWVHhM,/biz/b-and-js-pizza-corpus-christi-9?osq=Restaurants,78412,0.111638971,3.2,75,29948,72.9,1,1525,3.7,0,131,0.3,0,1687,4.1,1,41,0.1,1,2088,29.2,1,8.8,1,51280,0,120,1,0
La Mexicana Bakery And Tortilla Factory,27.7001493,-97.3567057,"6337 S Padre Island Dr, Corpus Christi, TX 78412, United States",ChIJnYvOStn1aIYR-DKAsilmhDc,/biz/la-mexicana-bakery-and-tortilla-factory-corpus-christi?osq=Restaurants,78412,0.045056919,3.7,75,29948,72.9,1,1525,3.7,0,131,0.3,0,1687,4.1,1,41,0.1,1,2088,29.2,1,8.8,1,51280,0,120,1,0
The BWB Restaurant,27.672747,-97.3565019,"7114 Saratoga Blvd Suite 222, Corpus Christi, TX 78414, United States",ChIJw0hQa7f1aIYRfCP-Bo93150,/biz/the-bwb-restaurant-corpus-christi?osq=Restaurants,78414,0.184968463,4.2,51,31039,67.3,0,1076,2.3,0,104,0.2,0,2488,5.4,1,44,0.1,1,2830,38.1,1,2.7,0,87231,1,8,1,0
Applebee's Grill + Bar,27.6973603,-97.3511747,"6691 S Padre Island Dr, Corpus Christi, TX 78412, United States",ChIJERRL0nf2aIYRMW_YfHZBJP8,/biz/applebees-grill-bar-corpus-christi?osq=Restaurants,78412,0.060915881,2,75,29948,72.9,1,1525,3.7,0,131,0.3,0,1687,4.1,1,41,0.1,1,2088,29.2,1,8.8,1,51280,0,120,1,0
Saltgrass Steak House,27.6965838,-97.3500189,"6729 S Padre Island Dr, Corpus Christi, TX 78412, United States",ChIJY_3Ivnf2aIYRg_EnIzZEQTI,/biz/saltgrass-steak-house-corpus-christi-2?osq=Restaurants,78412,0.136027681,3.4,75,29948,72.9,1,1525,3.7,0,131,0.3,0,1687,4.1,1,41,0.1,1,2088,29.2,1,8.8,1,51280,0,120,1,0
Sufi Kabob,27.6941083,-97.341344,"7150 S Padre Island Dr Suite 104, Corpus Christi, TX 78412, United States",ChIJuw-wunr2aIYRrW8Uzg6Zqro,/biz/sufi-kabob-corpus-christi?osq=Restaurants,78412,0.158571784,4.1,75,29948,72.9,1,1525,3.7,0,131,0.3,0,1687,4.1,1,41,0.1,1,2088,29.2,1,8.8,1,51280,0,120,1,0
El Potro Restaurant,27.6947697,-97.3412062,"1401 Rodd Field Rd, Corpus Christi, TX 78412, United States",ChIJW4IXrHr2aIYRYDXDejpfo08,/biz/el-potro-restaurant-corpus-christi?osq=Restaurants,78412,0.112111888,4,75,29948,72.9,1,1525,3.7,0,131,0.3,0,1687,4.1,1,41,0.1,1,2088,29.2,1,8.8,1,51280,0,120,1,0
Islander's Teriyaki,27.7186218,-97.3344841,"6133 Ennis Joslin Rd, Corpus Christi, TX 78412, United States",ChIJiR8WXO33aIYR3ATfcT79d9U,/biz/islanders-teriyaki-corpus-christi?osq=Restaurants,78412,0.140903036,4.5,75,29948,72.9,1,1525,3.7,0,131,0.3,0,1687,4.1,1,41,0.1,1,2088,29.2,1,8.8,1,51280,0,120,1,0
El Jalisco Grill,27.6898948,-97.3304206,"1813 Ennis Joslin Rd #113, Corpus Christi, TX 78412, United States",ChIJrzMr02f2aIYRM_9MOdNvymU,/biz/el-jalisco-grill-corpus-christi?osq=Restaurants,78412,0.224241024,4.3,75,29948,72.9,1,1525,3.7,0,131,0.3,0,1687,4.1,1,41,0.1,1,2088,29.2,1,8.8,1,51280,0,120,1,0
In The Game Funtrackers,27.6736229,-97.2964172,"9605 S Padre Island Dr, Corpus Christi, TX 78418, United States",ChIJye2tEBD3aIYRMdX9cWQXQVw,/biz/in-the-game-funtrackers-corpus-christi?osq=Restaurants,78418,0.004215732,4.4,55,23329,77.7,1,923,3.1,0,152,0.5,1,1263,4.2,1,0,0,0,1320,40,1,5,1,80906,1,40,1,0
The Bar & Grill,27.6518037,-97.2934279,"2150 Waldron Rd, Corpus Christi, TX 78418, United States",ChIJ9fk9ssD3aIYRYxDNOmuj7h4,/biz/the-bar-and-grill-corpus-christi?osq=Restaurants,78418,0.151262355,4.3,55,23329,77.7,1,923,3.1,0,152,0.5,1,1263,4.2,1,0,0,0,1320,40,1,5,1,80906,1,40,1,0
Little Manila Lumpia House,27.6521315,-97.2929607,"2124 Waldron Rd, Corpus Christi, TX 78418, United States",ChIJY7j7ETr3aIYRRp-Bv87n0NI,/biz/little-manila-lumpia-house-corpus-christi?osq=Restaurants,78418,0.141108102,3.7,55,23329,77.7,1,923,3.1,0,152,0.5,1,1263,4.2,1,0,0,0,1320,40,1,5,1,80906,1,40,1,0
Lucky Buffet,27.6669919,-97.2843834,"10241 S Padre Island Dr Suite 102, Corpus Christi, TX 78418, United States",ChIJVeeNS-73aIYRtyVOWVRqwGU,/biz/lucky-buffet-corpus-christi?osq=Restaurants,78418,0.116584916,4,55,23329,77.7,1,923,3.1,0,152,0.5,1,1263,4.2,1,0,0,0,1320,40,1,5,1,80906,1,40,1,0
Boardwalk Cafe,27.6732012,-97.2800892,"706 NAS Dr, Corpus Christi, TX 78418, United States",ChIJvboCRW73aIYR7wreuZSFPSo,/biz/boardwalk-cafe-corpus-christi?osq=Restaurants,78418,0.160709498,4.2,55,23329,77.7,1,923,3.1,0,152,0.5,1,1263,4.2,1,0,0,0,1320,40,1,5,1,80906,1,40,1,0
Taqueria Almeida 3,27.6734914,-97.2798763,"622 NAS Dr, Corpus Christi, TX 78418, United States",ChIJjXSpN273aIYRMeTowP5hfUw,/biz/taqueria-almeida-3-corpus-christi?osq=Restaurants,78413,0.108699139,3.6,68,27538,74.4,1,1492,4,1,180,0.5,1,848,2.3,0,0,0,0,1376,25.7,1,5.1,1,73859,1,3,1,0
Black Diamond Oyster Bar,27.6760067,-97.2780753,"418 NAS Dr, Corpus Christi, TX 78418, United States",ChIJV_ULMHD3aIYR7_3_EB6hcTk,/biz/black-diamond-oyster-bar-corpus-christi-2?osq=Restaurants,78418,0.384225035,4.4,55,23329,77.7,1,923,3.1,0,152,0.5,1,1263,4.2,1,0,0,0,1320,40,1,5,1,80906,1,40,1,0
The Flight Deck,27.6938772,-97.2669743,"Corpus Christi, TX 78418, United States",ChIJf2I6N4f3aIYRj1Z6VzeTX6E,/biz/the-flight-deck-corpus-christi?osq=Restaurants,78419,0.120436135,4.2,1,339,62.3,0,147,27,1,0,0,0,14,2.6,1,0,0,0,40,28.2,1,8.9,1,73333,1,18,0,0
Catalina Club,27.6939148,-97.257744,"301-323 Dimmit Dr, Corpus Christi, TX 78418, United States",ChIJP8Tvgi74aIYREP_J_Zw6wU4,/biz/catalina-club-corpus-christi?osq=Restaurants,78418,0.025500488,2.4,55,23329,77.7,1,923,3.1,0,152,0.5,1,1263,4.2,1,0,0,0,1320,40,1,5,1,80906,1,40,1,0
