Restaurant,Latitude,Longitude,Address_x,PlaceID,URL,ZIP,AverageExposure,Stars,Count,White_x,ofWhite,WN,Black,ofBlack,BN,AmericanIndaian,ofAI,AIN,Asian,ofAisan,AN,NativeHawiian,ofNativeHawiian,NHN,Edu,ofEDU,HED,Unemployment,HUne,Wealth,HWe,OBJECTID,Attraction,Hotspot
The Mess Deck,27.8155227,-97.3889055,"Deck 02, 2914 N Shoreline Blvd, Corpus Christi, TX 78402, United States",ChIJsZP-gmVfaIYRKQ7_4tLsSTg,/biz/the-mess-deck-corpus-christi?osq=Restaurants,78402,0.13423916,3.8,6,181,77.7,1,21,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45000,0,103,1,0
My Favorite Muffin,27.7547837,-97.3883223,"3264 S Alameda St, Corpus Christi, TX 78404, United States",ChIJlZH1aAxfaIYRODuoIiZUccc,/biz/my-favorite-muffin-corpus-christi-3?osq=Restaurants,78404,0.125072327,2.9,32,12065,77.1,1,408,2.6,0,8,0.1,0,290,1.9,0,0,0,0,294,15.5,0,4.7,1,49473,0,39,1,0
My Favorite Muffin,27.7547837,-97.3883223,"3264 S Alameda St, Corpus Christi, TX 78404, United States",ChIJlZH1aAxfaIYRODuoIiZUccc,/biz/my-favorite-muffin-corpus-christi-2?osq=Restaurants,78415,0.109203034,3.5,54,29415,70.7,0,1233,3,0,27,0.1,0,342,0.8,0,0,0,0,713,11.9,0,9.2,1,49255,0,127,0,0
To-Ce-Chi,27.7378562,-97.3880923,"4028 Weber Rd, Corpus Christi, TX 78411, United States",ChIJDTCv3I9faIYRqFFeNtBMYpg,/biz/to-ce-chi-corpus-christi?osq=Restaurants,78411,0.11182391,2.8,109,18431,76.2,1,760,3.1,0,57,0.2,0,316,1.3,0,0,0,0,654,18.5,0,5.9,1,55357,0,66,1,0
Middle Eastern Market & Deli,27.7101102,-97.3880699,"844500010020, 5405 Everhart Rd, Corpus Christi, TX 78411, United States",ChIJjXjGnvv1aIYR4PegOUGZIT8,/biz/middle-eastern-market-and-deli-corpus-christi?osq=Restaurants,78411,0.12189079,4.2,109,18431,76.2,1,760,3.1,0,57,0.2,0,316,1.3,0,0,0,0,654,18.5,0,5.9,1,55357,0,66,1,0
Joe's Crab Shack,27.794731,-97.38801,"444 N Shoreline Blvd, Corpus Christi, TX 78401, United States",ChIJ1dcc5fReaIYRQDNDES5iv0o,/biz/joes-crab-shack-corpus-christi?osq=Restaurants,78401,0.12256428,4,39,3230,69.3,0,486,10.4,1,14,0.3,0,36,0.8,0,0,0,0,43,5.9,0,2,0,30625,0,1,1,0
Joe's Crab Shack,27.794731,-97.38801,"444 N Shoreline Blvd, Corpus Christi, TX 78401, United States",ChIJ1dcc5fReaIYRQDNDES5iv0o,/biz/joes-crab-shack-corpus-christi-2?osq=Restaurants,78411,0.10359367,5,109,18431,76.2,1,760,3.1,0,57,0.2,0,316,1.3,0,0,0,0,654,18.5,0,5.9,1,55357,0,66,1,0
Hunan Express,27.7081034,-97.3879786,"5502 Everhart Rd, Corpus Christi, TX 78411, United States",ChIJPY7kztf1aIYRic3FDR9TQ6w,/biz/hunan-express-corpus-christi?osq=Restaurants,78412,0.098901279,2.8,75,29948,72.9,1,1525,3.7,0,131,0.3,0,1687,4.1,1,41,0.1,1,2088,29.2,1,8.8,1,51280,0,120,1,0
Nona's cocina,27.7388244,-97.3877672,"4006 Weber Rd, Corpus Christi, TX 78411, United States",ChIJt5rtFsZfaIYRWEhotHLW8cs,/biz/nonas-cocina-corpus-christi?osq=Restaurants,78411,0.122789308,4.1,109,18431,76.2,1,760,3.1,0,57,0.2,0,316,1.3,0,0,0,0,654,18.5,0,5.9,1,55357,0,66,1,0
Sandi's Diner,27.7381002,-97.3876237,"3801 S Staples St, Corpus Christi, TX 78411, United States",ChIJf8UCGVVeaIYRhXaiaNsydqI,/biz/sandis-diner-corpus-christi?osq=Restaurants,78404,0.19385954,4.3,32,12065,77.1,1,408,2.6,0,8,0.1,0,290,1.9,0,0,0,0,294,15.5,0,4.7,1,49473,0,39,1,0
Pho'Tastic & Deli,27.715531,-97.3873992,"4701 S Padre Island Dr suite D, Corpus Christi, TX 78411, United States",ChIJbTUC2-v1aIYRkLD3FaxPf-w,/biz/pho-tastic-and-deli-corpus-christi?osq=Restaurants,78411,0.146601493,3.7,109,18431,76.2,1,760,3.1,0,57,0.2,0,316,1.3,0,0,0,0,654,18.5,0,5.9,1,55357,0,66,1,0
koi sushi &hibachi,27.7123314,-97.3872261,"5301 Everhart Rd M, Corpus Christi, TX 78411, United States",ChIJe-3QNZr1aIYRS9dEeiDfqi4,/biz/koi-sushi-and-hibachi-corpus-christi?osq=Restaurants,78411,0.124571791,3.9,109,18431,76.2,1,760,3.1,0,57,0.2,0,316,1.3,0,0,0,0,654,18.5,0,5.9,1,55357,0,66,1,0
Maggie's Family Kitchen,27.7102998,-97.3866715,"5334 Everhart Rd, Corpus Christi, TX 78411, United States",ChIJzTMtbm5faIYRY01GpBxUHU0,/biz/maggies-family-kitchen-corpus-christi?osq=Restaurants,78411,0.133399165,3.2,109,18431,76.2,1,760,3.1,0,57,0.2,0,316,1.3,0,0,0,0,654,18.5,0,5.9,1,55357,0,66,1,0
Niko's Steakhouse,27.686219,-97.386477,"5409 Saratoga Blvd, Corpus Christi, TX 78413, United States",ChIJFdN0Nqz1aIYRV4qCwHMaV8A,/biz/nikos-steakhouse-corpus-christi?osq=Restaurants,78413,0.114085391,4,68,27538,74.4,1,1492,4,1,180,0.5,1,848,2.3,0,0,0,0,1376,25.7,1,5.1,1,73859,1,3,1,0
Atomic Omelette And Grill,27.6804843,-97.3859373,"6646 S Staples St, Corpus Christi, TX 78413, United States",ChIJMeRqrtL1aIYRu5RUscFWqiE,/biz/atomic-omelette-and-grill-corpus-christi?osq=Restaurants,78413,0.123043167,3.8,68,27538,74.4,1,1492,4,1,180,0.5,1,848,2.3,0,0,0,0,1376,25.7,1,5.1,1,73859,1,3,1,0
