Name_x,URL,ZIP,Count,AverageExposure,Stars,Latitude,Longitude,Address,PlaceID,White,ofWhite,WN,Black,ofBlack,BN,AmericanIndaian,ofAI,AIN,Asian,ofAisan,AN,NativeHawiian,ofNativeHawiian,NHN,Edu,ofEDU,HED,Unemployment,HUne,Wealth,HWe,Attraction,Hotspot
Big Star Mariscos,/biz/big-star-mariscos-chicago-2?osq=Restaurants,60642,73,0.117403561,3.4,41.8922391,-87.6578035,"551 N Ogden Ave, Chicago, IL 60642, United States",ChIJdZ4F1-MtDogRT7u4sx8LEu0,15076,70.5,1,2067,9.7,0,15,0.1,0,1595,7.5,1,0,0,0,8215,87.8,1,4.2,1,131201,1,0,0
Elina's,/biz/elinas-chicago?osq=Restaurants,60642,73,0.077740606,3.9,41.8912431,-87.657651,"1202 W Grand Ave, Chicago, IL 60642, United States",ChIJQxn8HS0tDogRz-XT8BXKN-E,15076,70.5,1,2067,9.7,0,15,0.1,0,1595,7.5,1,0,0,0,8215,87.8,1,4.2,1,131201,1,0,0
Butcher & The Burger,/biz/butcher-and-the-burger-chicago?osq=Restaurants,60614,269,0.035130132,4,41.9179972,-87.6541834,"1021 W Armitage Ave, Chicago, IL 60614, United States",ChIJOZwOIR_TD4gRznsh50Ugn-Y,59962,83.1,1,2863,4,0,27,0,0,5165,7.2,1,2,0,0,20623,93.3,1,3.4,0,123610,1,1,0
Bolivar & Lincoln Venezuelan Cafe,/biz/bolivar-and-lincoln-venezuelan-cafe-chicago?osq=Restaurants,60657,233,0.099476005,4.9,41.9432109,-87.6540311,"Store front 1, 3349 N Sheffield Ave, Chicago, IL 60657, United States",ChIJ0-3yUgDTD4gR27-rQ2uSB8s,59259,82.2,1,2683,3.7,0,94,0.1,0,4833,6.7,0,105,0.1,1,23108,90.9,1,4.2,1,98457,1,0,0
Armitage Alehouse,/biz/armitage-alehouse-chicago?osq=Restaurants,60614,269,0.132821281,4.4,41.9183532,-87.6536,"1000 W Armitage Ave, Chicago, IL 60614, United States",ChIJO0zgvw3TD4gRtEez2q5Y-EA,59962,83.1,1,2863,4,0,27,0,0,5165,7.2,1,2,0,0,20623,93.3,1,3.4,0,123610,1,1,0
Monteverde,/biz/monteverde-chicago?osq=Restaurants,60607,198,0.09380337,4.4,41.8818303,-87.6530626,"1020 W Madison St, Chicago, IL 60607, United States",ChIJMViM4dssDogRdmIJH2z_Q10,16844,56.2,1,3742,12.5,0,107,0.4,0,6724,22.4,1,17,0.1,1,8429,88.1,1,7,1,109634,1,0,0
Lowcountry Lakeview,/biz/lowcountry-lakeview-chicago?osq=Restaurants,60657,233,0.120854606,4.5,41.9428404,-87.6528472,"3343 N Clark St, Chicago, IL 60657, United States",ChIJp2vsfa7TD4gRgiy9XMOp66I,59259,82.2,1,2683,3.7,0,94,0.1,0,4833,6.7,0,105,0.1,1,23108,90.9,1,4.2,1,98457,1,0,0
Willies `n Waffles,/biz/willies-n-waffles-chicago?osq=Restaurants,60657,233,0.155560352,4.7,41.9397108,-87.6528152,"931 W Belmont Ave, Chicago, IL 60657, United States",ChIJyf9P0iDTD4gRtWJZ11kFSlA,59259,82.2,1,2683,3.7,0,94,0.1,0,4833,6.7,0,105,0.1,1,23108,90.9,1,4.2,1,98457,1,0,0
Daebak Lincoln Park,/biz/daebak-lincoln-park-chicago?osq=Restaurants,60642,73,0.05815341,3.4,41.9088173,-87.6522068,"1523 N Kingsbury St, Chicago, IL 60642, United States",ChIJ0RGBd83TD4gRwZBOc0s8Ovk,15076,70.5,1,2067,9.7,0,15,0.1,0,1595,7.5,1,0,0,0,8215,87.8,1,4.2,1,131201,1,0,0
Kyoku Sushi,/biz/kyoku-sushi-chicago?osq=Restaurants,60614,269,0.036098428,4.9,41.9275134,-87.6519349,"2518 N Lincoln Ave, Chicago, IL 60614, United States",ChIJQ71XNLrTD4gRDsnAI8whUxc,59962,83.1,1,2863,4,0,27,0,0,5165,7.2,1,2,0,0,20623,93.3,1,3.4,0,123610,1,1,0
Gaijin,/biz/gaijin-chicago?osq=Restaurants,60607,198,0.190441383,4.3,41.8857081,-87.6517592,"950 W Lake St, Chicago, IL 60607, United States",ChIJgVZJntAsDogRGymcVEr0ypI,16844,56.2,1,3742,12.5,0,107,0.4,0,6724,22.4,1,17,0.1,1,8429,88.1,1,7,1,109634,1,0,1
Rose Mary,/biz/rose-mary-chicago-2?osq=Restaurants,60607,198,0.152578183,4.4,41.8869519,-87.6511541,"932 W Fulton St, Chicago, IL 60607, United States",ChIJ5x1j00EtDogRy59iMkDkmBY,16844,56.2,1,3742,12.5,0,107,0.4,0,6724,22.4,1,17,0.1,1,8429,88.1,1,7,1,109634,1,0,1
Mixteco Mexican Grill,/biz/mixteco-mexican-grill-chicago-8?osq=Restaurants,60642,73,0.044028581,4.6,41.9398725,-87.6511306,"847 W Belmont Ave, Chicago, IL 60657, United States",ChIJp-kIL6nTD4gReF8DhjPC0JY,15076,70.5,1,2067,9.7,0,15,0.1,0,1595,7.5,1,0,0,0,8215,87.8,1,4.2,1,131201,1,0,0
Puttery Chicago,/biz/puttery-chicago-chicago?osq=Restaurants,60607,198,0.103444445,5,41.8847114,-87.6510811,"932 W Randolph St, Chicago, IL 60607, United States",ChIJcaw2-sQtDogR82QCa5JCU-A,16844,56.2,1,3742,12.5,0,107,0.4,0,6724,22.4,1,17,0.1,1,8429,88.1,1,7,1,109634,1,0,1
L%C3%9DRA,/biz/l%C3%BDra-chicago-2?osq=Restaurants,60607,198,0.155626499,4.1,41.88666,-87.6501,"905 W Fulton Market  Chicago, IL 60607  Fulton Market, West Loop, Near West Side",-,16844,56.2,1,3742,12.5,0,107,0.4,0,6724,22.4,1,17,0.1,1,8429,88.1,1,7,1,109634,1,0,1
Parachute,/biz/parachute-chicago?osq=Restaurants,60618,177,0.008773031,4,41.9179598,-87.6500031,"837 W Armitage Ave, Chicago, IL 60614, United States",ChIJM-0dbr_TD4gRjSL6zBxzoA8,62235,65.5,1,2661,2.8,0,199,0.2,0,6151,6.5,0,154,0.2,1,13382,65.7,1,4.8,1,91650,1,0,0
Galit,/biz/galit-chicago?osq=Restaurants,60614,269,0.139102192,4.3,41.9262961,-87.6494903,"2429 N Lincoln Ave, Chicago, IL 60614, United States",ChIJ37gaSeXTD4gR4G_7yDPUKME,59962,83.1,1,2863,4,0,27,0,0,5165,7.2,1,2,0,0,20623,93.3,1,3.4,0,123610,1,1,0
Dom's Kitchen & Market,/biz/doms-kitchen-and-market-chicago-3?osq=Restaurants,60610,166,0.044810419,5,41.9324289,-87.649256,"2730 N Halsted St, Chicago, IL 60614, United States",ChIJuRNbzZPTD4gRcNYOBGExNeg,30940,72.9,1,5110,12,0,97,0.2,0,4019,9.5,1,7,0,0,13574,89.6,1,3.1,0,99246,1,0,0
Trivoli Tavern,/biz/trivoli-tavern-chicago?osq=Restaurants,60607,198,0.13064902,4.5,41.8838272,-87.6492538,"114 N Green St, Chicago, IL 60607, United States",ChIJSwROLIEtDogRw4rWhgp9Ehs,16844,56.2,1,3742,12.5,0,107,0.4,0,6724,22.4,1,17,0.1,1,8429,88.1,1,7,1,109634,1,0,1
Gino & Martys,/biz/gino-and-martys-chicago?osq=Restaurants,60607,198,0.00440587,4,41.8846985,-87.649211,"844 W Randolph St, Chicago, IL 60607, United States",ChIJFWic8Z8tDogRnAukuFjjx3s,16844,56.2,1,3742,12.5,0,107,0.4,0,6724,22.4,1,17,0.1,1,8429,88.1,1,7,1,109634,1,0,1
Cabra,/biz/cabra-chicago-2?osq=Restaurants,60607,198,0.160342609,4.1,41.8858604,-87.6490707,"200 N Green St, Chicago, IL 60607, United States",ChIJRdBgBtAsDogRyPCWhE3hjeo,16844,56.2,1,3742,12.5,0,107,0.4,0,6724,22.4,1,17,0.1,1,8429,88.1,1,7,1,109634,1,0,1
Hide+Seek,/biz/hide-seek-chicago?osq=Restaurants,60607,198,0.211472524,4,41.8846822,-87.6490019,"838 W Randolph St, Chicago, IL 60607, United States",ChIJxcnna9EtDogRiD7VMywXfw4,16844,56.2,1,3742,12.5,0,107,0.4,0,6724,22.4,1,17,0.1,1,8429,88.1,1,7,1,109634,1,0,1
Medi Kitchen & Cocktail,/biz/medi-kitchen-and-cocktail-chicago?osq=Restaurants,60614,269,0.04404279,4.5,41.9211387,-87.6489538,"2138 N Halsted St, Chicago, IL 60614, United States",ChIJKUKSJufTD4gRdD78r-1w-Po,59962,83.1,1,2863,4,0,27,0,0,5165,7.2,1,2,0,0,20623,93.3,1,3.4,0,123610,1,1,0
Cira,/biz/cira-chicago?osq=Restaurants,60607,198,0.120884898,4.2,41.885825,-87.6489435,"200 N Green St, Chicago, IL 60607, United States",ChIJRdBgBtAsDogRgWN8ceYmgks,16844,56.2,1,3742,12.5,0,107,0.4,0,6724,22.4,1,17,0.1,1,8429,88.1,1,7,1,109634,1,0,1
Sapori Trattoria,/biz/sapori-trattoria-chicago?osq=Restaurants,60614,269,0.053394058,4.4,41.9316548,-87.6488609,"2701 N Halsted St, Chicago, IL 60614, United States",ChIJ1VStIgbTD4gRt1Rj342S-vs,59962,83.1,1,2863,4,0,27,0,0,5165,7.2,1,2,0,0,20623,93.3,1,3.4,0,123610,1,1,0
Aba,/biz/aba-chicago-2?osq=Restaurants,60607,198,0.176934122,4.4,41.887005,-87.6488501,"302 N Green St 3rd Floor, Chicago, IL 60607, United States",ChIJHy_uxjQtDogREgbDgcjizn8,16844,56.2,1,3742,12.5,0,107,0.4,0,6724,22.4,1,17,0.1,1,8429,88.1,1,7,1,109634,1,0,1
Summer House Santa Monica,/biz/summer-house-santa-monica-chicago-4?osq=Restaurants,60614,269,0.129835075,3.9,41.9175747,-87.6486478,"1954 N Halsted St, Chicago, IL 60614, United States",ChIJxYDpLhjTD4gRXbOM_K_279E,59962,83.1,1,2863,4,0,27,0,0,5165,7.2,1,2,0,0,20623,93.3,1,3.4,0,123610,1,1,0
Tiny Goat,/biz/tiny-goat-chicago-2?osq=Restaurants,60607,198,0.109402254,4.7,41.8846834,-87.6484399,"820 W Randolph St Second Floor, Chicago, IL 60607, United States",ChIJ_0ZDEJQtDogRgNJQe7T2MWE,16844,56.2,1,3742,12.5,0,107,0.4,0,6724,22.4,1,17,0.1,1,8429,88.1,1,7,1,109634,1,0,1
Alinea,/biz/alinea-chicago?osq=Restaurants,60614,269,0.070599792,4.4,41.913435,-87.6480552,"1723 N Halsted St, Chicago, IL 60614, United States",ChIJuyI60yLTD4gROwTWENq1He0,59962,83.1,1,2863,4,0,27,0,0,5165,7.2,1,2,0,0,20623,93.3,1,3.4,0,123610,1,1,0
Boka,/biz/boka-chicago?osq=Restaurants,60614,269,0.151484835,4.3,41.9135551,-87.6480103,"1729 N Halsted St, Chicago, IL 60614, United States",ChIJg7aSMj3TD4gRlHUmzqlebUI,59962,83.1,1,2863,4,0,27,0,0,5165,7.2,1,2,0,0,20623,93.3,1,3.4,0,123610,1,1,0
Girl & The Goat,/biz/girl-and-the-goat-chicago?osq=Restaurants,60607,198,0.749654278,4.4,41.8841811,-87.6479449,"809 W Randolph St, Chicago, IL 60607, United States",ChIJs8mbNsUsDogRUnpg-b_IK5E,16844,56.2,1,3742,12.5,0,107,0.4,0,6724,22.4,1,17,0.1,1,8429,88.1,1,7,1,109634,1,0,1
