Restaurant,Latitude,Longitude,Address,PlaceID,URL,ZIP,AverageExposure,Stars,Count,White,ofWhite,WN,Black,ofBlack,BN,AmericanIndaian,ofAI,AIN,Asian,ofAisan,AN,NativeHawiian,ofNativeHawiian,NHN,Edu,ofEDU,HED,Unemployment,HUne,Wealth,HWe,Attraction,Hotspot
Coco Bistro,40.7075433,-74.0016978,"36 Peck Slip, New York, NY 10038, United States",ChIJE9A2CkxbwokRnLNMd5R3hpY,/biz/coco-bistro-peck-slip?osq=Restaurants,10038,0.186326586,4.3,21,11554,49.5,1,2495,10.7,0,55,0.2,0,6638,28.4,1,0,0,0,4736,88.3,1,7.2,1,99924,1,1,1
Dante,40.7288417,-74.0016444,"79-81 MacDougal St, New York, NY 10012, United States",ChIJUw68EZJZwokRJ15RD_T4OTw,/biz/dante-new-york?osq=Restaurants,10012,0.129607856,3.8,28,15836,71.1,1,806,3.6,0,0,0,0,4131,18.6,1,0,0,0,5883,93.9,1,4.7,1,117581,1,1,1
Momofuku Ssam Bar,40.7054623,-74.0016428,"89 South St Pier 17, New York, NY 10038, United States",ChIJkXQ3_INZwokRbCMEByaQ_VE,/biz/momofuku-ssam-bar-new-york-6?osq=Restaurants,10038,0.191170784,3.9,21,11554,49.5,1,2495,10.7,0,55,0.2,0,6638,28.4,1,0,0,0,4736,88.3,1,7.2,1,99924,1,1,1
DOMODOMO - New York,40.7280088,-74.0016204,"140 W Houston St, New York, NY 10012, United States",ChIJKas69o1ZwokRzUumZ0jK0rk,/biz/domodomo-new-york-new-york-4?osq=Restaurants,10012,0.189072886,4.2,28,15836,71.1,1,806,3.6,0,0,0,0,4131,18.6,1,0,0,0,5883,93.9,1,4.7,1,117581,1,1,1
The Paris Cafe,40.7073039,-74.0015776,"119 South Street, 119 Peck Slip, New York, NY 10038, United States",ChIJp1xmvDxawokR--2ZxQQ7NeM,/biz/the-paris-cafe-new-york?osq=Restaurants,10038,0.147844925,3.9,21,11554,49.5,1,2495,10.7,0,55,0.2,0,6638,28.4,1,0,0,0,4736,88.3,1,7.2,1,99924,1,1,1
Malibu Farm New York,40.705759,-74.001505,"89 South St, New York, NY 10038, United States",ChIJD_Iteo1bwokRvCPy9I-S9Ds,/biz/malibu-farm-new-york-new-york-2?osq=Restaurants,10038,0.220716478,3.8,21,11554,49.5,1,2495,10.7,0,55,0.2,0,6638,28.4,1,0,0,0,4736,88.3,1,7.2,1,99924,1,1,1
Honest,40.7288492,-74.0008394,"176 Bleecker St, New York, NY 10012, United States",ChIJB8t1eLpZwokRyFUSHNRTgJs,/biz/honest-new-york?osq=Restaurants,10012,0.005114972,4.5,28,15836,71.1,1,806,3.6,0,0,0,0,4131,18.6,1,0,0,0,5883,93.9,1,4.7,1,117581,1,1,1
Chow House,40.7291594,-74.000702,"181 Bleecker St, New York, NY 10012, United States",ChIJ8z3tH5JZwokRU1hSLFhRFQA,/biz/chow-house-new-york?osq=Restaurants,10012,0.144309272,4.4,28,15836,71.1,1,806,3.6,0,0,0,0,4131,18.6,1,0,0,0,5883,93.9,1,4.7,1,117581,1,1,1
Saigon Shack,40.7296988,-74.0006341,"114 MacDougal St, New York, NY 10012, United States",ChIJp7CcJ5JZwokRCZHeOFZwxkc,/biz/saigon-shack-new-york?osq=Restaurants,10012,0.109789227,4.1,28,15836,71.1,1,806,3.6,0,0,0,0,4131,18.6,1,0,0,0,5883,93.9,1,4.7,1,117581,1,1,1
Shukette,40.7471546,-74.0005218,"230 9th Ave, New York, NY 10001, United States",ChIJuabZo6hZwokRhGPoGjo0H6k,/biz/shukette-new-york?osq=Restaurants,10001,0.13574251,4.4,10,16963,62.9,1,2117,7.9,0,40,0.1,0,4527,16.8,1,50,0.2,1,6584,88.1,1,4.1,1,101409,1,1,0
Pommes Frites,40.7301279,-74.0002934,"128 MacDougal St, New York, NY 10012, United States",ChIJDUFxhJFZwokRy_4jLT8Uwcs,/biz/pommes-frites-new-york-2?osq=Restaurants,10012,0.010330287,4.2,28,15836,71.1,1,806,3.6,0,0,0,0,4131,18.6,1,0,0,0,5883,93.9,1,4.7,1,117581,1,1,1
Jane Restaurant,40.7273218,-74.00026,"100 W Houston St, New York, NY 10012, United States",ChIJX4zeCI5ZwokRePXXoFv-AXY,/biz/jane-restaurant-new-york?osq=Restaurants,10012,0.14428711,3.9,28,15836,71.1,1,806,3.6,0,0,0,0,4131,18.6,1,0,0,0,5883,93.9,1,4.7,1,117581,1,1,1
