,0,Count
70,"[[ 40.7144661 -73.9614933]
 [ 40.7125848 -73.9604783]
 [ 40.7126529 -73.962328 ]
 [ 40.7138577 -73.960393 ]
 [ 40.7126762 -73.960731 ]
 [ 40.7144661 -73.9614933]
 [ 40.7128716 -73.9625475]
 [ 40.7147055 -73.9613   ]]",8
71,[[ 40.7510806 -73.9499861]],1
72,[[ 40.7612592 -73.9234119]],1
73,"[[ 40.7023497  -73.9955941 ]
 [ 40.7027205  -73.9934606 ]
 [ 40.7034205  -73.9921457 ]
 [ 40.7026693  -73.9911665 ]
 [ 40.7035982  -73.9916626 ]
 [ 40.7026637  -73.9891745 ]
 [ 40.7037574  -73.9881497 ]
 [ 40.7019271  -73.9894984 ]
 [ 40.7034191  -73.9916072 ]
 [ 40.7032682  -73.9867632 ]
 [ 40.7034797  -73.9941407 ]
 [ 40.7034205  -73.9921457 ]
 [ 40.7025945  -73.9869119 ]
 [ 40.7033505  -73.9867577 ]
 [ 40.7026673  -73.9931155 ]
 [ 40.7046617  -73.9879695 ]
 [ 40.7030931  -73.991336  ]
 [ 40.7034191  -73.9916072 ]
 [ 40.7034191  -73.9916072 ]
 [ 40.7038464  -73.9869969 ]
 [ 40.7033508  -73.9904527 ]
 [ 40.7030931  -73.991336  ]
 [ 40.70399921 -73.99482446]
 [ 40.70276787 -73.99326846]
 [ 40.70098471 -73.98830232]]",25
74,"[[ 40.7000203 -73.9937018]
 [ 40.6992629 -73.9922772]
 [ 40.69981   -73.9921036]
 [ 40.700213  -73.993316 ]]",4
75,[[ 40.6941905 -73.9928049]],1
76,[[ 40.6931638 -73.9987045]],1
77,"[[ 40.6944625 -73.9830314]
 [ 40.695024  -73.9835069]]",2
78,"[[ 40.6951826 -73.9962507]
 [ 40.695172  -73.9961544]]",2
79,"[[ 40.6901828 -73.9963759]
 [ 40.6901602 -73.9934661]
 [ 40.6906407 -73.9950026]]",3
80,[[ 40.7175831 -74.0523835]],1
81,"[[ 40.685206  -73.9912052]
 [ 40.6867438 -73.9910146]]",2
82,[[ 42.812625  -89.6318972]],1
83,"[[ 40.7197594 -73.9591364]
 [ 40.7197811 -73.9600105]
 [ 40.7184509 -73.9600014]
 [ 40.7209634 -73.9585938]]",4
84,[[ 40.5916718 -73.8987771]],1
85,[[ 40.6899973 -73.9870866]],1
86,"[[ 40.6897385 -73.970998 ]
 [ 40.689495  -73.9723826]
 [ 40.6896994 -73.9707225]
 [ 40.6895262 -73.9732603]
 [ 40.6893609 -73.9732462]]",5
87,"[[ 40.6795034 -73.9679969]
 [ 40.6780129 -73.9684688]]",2
88,[[ 40.8084579 -73.9520591]],1
89,[[ 40.6900381 -73.9653881]],1
90,[[ 40.7074639 -73.9433847]],1
91,[[ 40.7041695 -73.9331587]],1
92,[[ 40.7060683 -73.93261  ]],1
93,[[ 40.7142586 -73.9496365]],1
94,[[ 40.7178133 -73.9465225]],1
95,[[ 40.7131869 -73.936139 ]],1
96,[[ 40.7171513 -73.9406797]],1
97,[[ 40.7175919 -73.9523673]],1
98,[[ 40.7173811 -73.9493013]],1
99,"[[ 40.7105723 -73.958997 ]
 [ 40.7092997 -73.9585692]]",2
100,"[[ 40.7105166 -73.9633332]
 [ 40.7101851 -73.9640181]
 [ 40.710662  -73.9656885]
 [ 40.7115231 -73.9674492]]",4
101,[[ 40.662711 -73.984862]],1
102,[[ 40.6820926 -73.9497506]],1
103,"[[ 40.6883183 -73.9830995]
 [ 40.6883983 -73.9828992]]",2
104,[[ 40.6882104 -73.9795483]],1
105,"[[ 40.6796443 -73.9745773]
 [ 40.6798373 -73.9739907]]",2
106,[[ 40.6868994 -73.974708 ]],1
107,[[ 40.7440161 -73.935088 ]],1
108,[[ 40.6959497 -73.9337189]],1
109,"[[ 40.7247503 -73.95503  ]
 [ 40.7247417 -73.9535161]
 [ 40.7246839 -73.9536504]
 [ 40.7262812 -73.9546988]]",4
110,"[[ 40.7339961  -73.9550482 ]
 [ 40.7318807  -73.9543913 ]
 [ 40.73332445 -73.95497859]]",3
111,[[ 40.729914  -73.9554864]],1
112,"[[ 40.7313126  -73.9593672 ]
 [ 40.7296511  -73.9582848 ]
 [ 40.72993223 -73.9597922 ]]",3
113,[[ 40.7278524 -73.957124 ]],1
114,[[ 40.7237764 -73.9515083]],1
115,[[ 40.6616123 -73.9534949]],1
116,[[ 40.6579395 -73.9505773]],1
117,[[ 40.6749596 -73.9992896]],1
118,[[ 40.6749167 -74.0161583]],1
119,[[ 40.677962  -73.9961029]],1
120,[[ 40.6756574 -73.9600392]],1
121,[[ 40.6877746 -73.9706332]],1
122,[[ 40.6826961 -73.9637819]],1
123,[[ 40.6867765 -73.966321 ]],1
124,[[ 40.6802228 -73.961252 ]],1
125,[[16.840939 96.173526]],1
126,[[ 40.68699209 -73.96280463]],1
127,"[[ 40.7142531  -73.9654481 ]
 [ 40.7156519  -73.9647449 ]
 [ 40.7141876  -73.9653271 ]
 [ 40.7134198  -73.9672164 ]
 [ 40.71591959 -73.96413803]]",5
128,[[ 40.7393493 -73.9207462]],1
129,[[ 40.7463337 -73.9000145]],1
130,[[ 40.7023668 -73.9016157]],1
