,0,Count
77,"[[ 29.9378966 -90.0712854]
 [ 29.9380803 -90.0712556]
 [ 29.938161  -90.0712209]
 [ 29.937844  -90.0712358]]",4
78,"[[ 29.9350475 -90.0795223]
 [ 29.9351562 -90.0796472]
 [ 29.9342963 -90.0797645]
 [ 29.9334515 -90.0783954]]",4
79,[[ 29.9383372 -90.0757316]],1
80,[[ 29.9272136 -90.0743656]],1
81,"[[ 29.9389294 -90.0687196]
 [ 29.9406129 -90.0693037]]",2
82,[[ 29.9320831 -90.0678346]],1
83,[[ 29.9419017 -90.075052 ]],1
84,[[ 29.9490488 -90.0638056]],1
85,[[ 29.9358054 -90.071898 ]],1
86,[[ 29.9454624 -90.0386975]],1
