,0,Count
77,"[[ 41.8902082  -87.6316225 ]
 [ 41.8879482  -87.6322746 ]
 [ 41.8909595  -87.6308965 ]
 [ 41.8899515  -87.6302966 ]
 [ 41.8890412  -87.6304305 ]
 [ 41.8910962  -87.63130881]
 [ 41.889389   -87.6281551 ]
 [ 41.891741   -87.6317757 ]
 [ 41.8902505  -87.6307448 ]
 [ 41.8899006  -87.6303638 ]]",10
78,"[[ 41.8960136 -87.6316048]
 [ 41.8960136 -87.6316048]
 [ 41.8959707 -87.6310641]
 [ 41.8959707 -87.6310641]]",4
79,"[[ 41.884137  -87.640973 ]
 [ 41.884137  -87.640973 ]
 [ 41.8861692 -87.6450939]
 [ 41.8842861 -87.643401 ]
 [ 41.884577  -87.6425231]
 [ 41.8846414 -87.6449306]]",6
80,[[ 41.8959557 -87.6944326]],1
81,"[[ 41.8941524 -87.6674985]
 [ 41.8932361 -87.6674207]]",2
82,[[ 41.8955276 -87.6969153]],1
83,[[ 41.9023892 -87.69664  ]],1
84,[[ 41.8821487 -87.6399307]],1
85,[[ 41.8980236 -87.6871111]],1
86,[[ 42.0408052 -87.7017361]],1
87,[[ 41.9028144 -87.6926588]],1
88,[[ 41.859042  -87.7204907]],1
89,"[[ 41.9643    -87.685562 ]
 [ 41.9651973 -87.6861538]]",2
90,[[ 41.9682016 -87.69353  ]],1
91,[[ 41.9245508 -87.7346732]],1
92,[[31.6294723 -7.9810845]],1
93,[[ 41.9088173 -87.6522068]],1
94,"[[ 41.8922391 -87.6578035]
 [ 41.8912431 -87.657651 ]]",2
95,[[ 41.9056954 -87.6601398]],1
96,"[[ 41.9398725 -87.6511306]
 [ 41.9397108 -87.6528152]]",2
97,[[ 41.9137645 -87.6641745]],1
98,"[[ 41.9254936 -87.701291 ]
 [ 41.925347  -87.7011293]
 [ 41.9265223 -87.6975964]
 [ 41.924432  -87.6996487]
 [ 41.9237942 -87.6985973]
 [ 41.9250007 -87.6973113]
 [ 41.92468   -87.6960542]]",7
99,"[[ 41.9245323 -87.710911 ]
 [ 41.9245471 -87.7109482]]",2
100,"[[ 41.9273609 -87.7048376]
 [ 41.9276583 -87.7067917]
 [ 41.927701  -87.7063979]
 [ 41.9274677 -87.7043615]
 [ 41.9271363 -87.7040271]
 [ 41.9278168 -87.706826 ]]",6
101,[[ 41.9319516 -87.7023611]],1
102,"[[ 41.924496  -87.7135482]
 [ 41.9247785 -87.715605 ]]",2
103,[[ 41.9300848 -87.7072401]],1
104,"[[ 41.9174736 -87.6826681]
 [ 41.9177572 -87.684367 ]]",2
105,[[ 41.919642  -87.6971187]],1
106,"[[ 41.91012947 -87.6907523 ]
 [ 41.9100392  -87.6900307 ]
 [ 41.9100009  -87.6927778 ]]",3
107,[[ 41.9177843 -87.6988914]],1
108,"[[ 41.9176221 -87.6778639]
 [ 41.9175649 -87.6777625]
 [ 41.9174524 -87.6777605]]",3
109,[[ 41.9218011 -87.6974863]],1
110,"[[ 41.9102486 -87.6852901]
 [ 41.9102645 -87.6845839]]",2
111,"[[ 41.9160148  -87.6876581 ]
 [ 41.91568523 -87.68502682]
 [ 41.914339   -87.6838108 ]
 [ 41.9173395  -87.6878702 ]
 [ 41.9188014  -87.6872208 ]
 [ 41.9157915  -87.6870453 ]
 [ 41.91765706 -87.69019802]]",7
112,[[ 10.3156992 123.8854366]],1
113,[[ 41.9288865 -87.6976843]],1
114,"[[ 41.9206769 -87.6934715]
 [ 41.9196107 -87.691718 ]
 [ 41.9195055 -87.6915138]]",3
115,[[ 41.9176412 -87.6959996]],1
116,[[ 41.9103611 -87.7013583]],1
117,[[ 41.9250505 -87.6884298]],1
118,"[[ 41.9217688 -87.6872693]
 [ 41.9227137 -87.6878108]]",2
119,[[ 41.91367251 -87.71155014]],1
120,[[ 41.9101945 -87.7245734]],1
121,[[ 41.8990596 -87.6261589]],1
122,[[ 41.9127987 -87.6972256]],1
123,[[ 41.9304566 -87.688069 ]],1
124,[[ 41.9244205 -87.7196575]],1
125,[[ 41.9225373 -87.7167347]],1
126,[[ 41.9201776 -87.6779664]],1
127,[[ 41.9097202 -87.7071873]],1
128,[[ 41.889418  -87.6445196]],1
129,[[ 41.889264  -87.6352141]],1
130,[[ 41.8945578 -87.635062 ]],1
131,[[ 41.8949187 -87.6386592]],1
132,[[ 41.9402209 -87.6403387]],1
133,"[[ 41.9358605 -87.6629129]
 [ 41.9363136 -87.6614008]]",2
134,"[[ 41.9361111 -87.6444389]
 [ 41.9349395 -87.6440569]
 [ 41.9360622 -87.6443992]]",3
135,"[[ 41.9428404 -87.6528472]
 [ 41.9432109 -87.6540311]]",2
136,[[ 41.9427285 -87.6705439]],1
137,"[[ 41.9446762 -87.6454973]
 [ 41.9438963 -87.6454327]]",2
138,[[ 41.9451544 -87.6633992]],1
139,[[ 41.9833483 -87.6690624]],1
140,[[ 41.8778208 -87.6448765]],1
